dzid,title,author_index,person_name,person_id,FUNCTION
DZ0001,靈寶無量度人上品妙經,2,葛巢甫,1421,
DZ0001,靈寶無量度人上品妙經,1,嚴東,3526,注
DZ0003,元始說先天道德經註解,2,李家謀,15694,注
DZ0003,元始說先天道德經註解,1,張善淵,15607,編
DZ0005,太上無極總真文昌大洞仙經,1,文昌帝君,15637,撰
DZ0006,上清大洞真經,4,朱自英,15688,序
DZ0006,上清大洞真經,3,蔣宗瑛,15831,編
DZ0006,上清大洞真經,2,程公端,15799,刊記
DZ0006,上清大洞真經,1,張宇初,15614,刊記
DZ0007,大洞玉經,1,龔德同,15949,刊記
DZ0011,高上玉皇本行集經,1,張良,4732,撰
DZ0012,高上玉皇本行經髓,1,劉處源,15549,傳
DZ0019,太上昇玄消災護命妙經,4,宋真宗,15307,序
DZ0019,太上昇玄消災護命妙經,3,李道純,15707,注
DZ0019,太上昇玄消災護命妙經,2,王玠,15776,注
DZ0019,太上昇玄消災護命妙經,1,張白,1021,注
DZ0022,元始五老赤書玉篇真文天書經,1,葛巢甫,1421,
DZ0033,上清黃氣陽精三道順行經,1,楊羲,3527,輯佚
DZ0034,太上開明天地本真經,1,通玄三教眉山師仁壽,15653,傳
DZ0041,太上修真體元妙道經,1,劉元瑞,15535,輯佚
DZ0056,太上玉佩金璫太極金書上經,1,楊羲,3527,
DZ0084,上清瓊宮靈飛六甲左右上符,1,楊羲,3527,
DZ0087,元始無量度人上品妙經四註,1,陳景元,15903,撰
DZ0088,元始無量度人上品妙經註,3,東海青元真人,15638,注
DZ0088,元始無量度人上品妙經註,2,清河老人,15641,
DZ0088,元始無量度人上品妙經註,1,郭罔鳳,15640,編
DZ0089,元始無量度人上品妙經通義,1,張宇初,15614,撰
DZ0090,元始無量度人上品妙經內義,1,蕭應叟,15836,撰
DZ0091,太上洞玄靈寶無量度人上品妙經註解,1,陳致虛,15493,撰
DZ0092,元始無量度人上品妙經註解,1,薛季昭,15839,撰
DZ0093,太上洞玄靈寶無量度人上品經法,1,陳春榮,15902,纂
DZ0095,洞玄靈寶無量度人經訣音義,1,張萬福,11075,撰
DZ0097,太上靈寶諸天內音自然玉字,1,葛巢甫,1421,
DZ0099,九天應元雷聲普化天尊玉樞寶經集註,2,徐道齡,15670,撰
DZ0099,九天應元雷聲普化天尊玉樞寶經集註,1,張嗣成,15608,刊記
DZ0100,太上昇玄說消災護命妙經註,1,王玠,15776,撰
DZ0101,太上昇玄消災護命妙經註,1,李道純,15707,撰
DZ0102,元始天尊說太古經註,1,長荃子,15658,撰
DZ0103,玉清無極總真文昌大洞仙經註,1,衛琪,15845,撰
DZ0104,上清大洞真經玉訣音義,1,陳景元,15903,撰
DZ0105,太上大通經註,1,李道純,15707,注
DZ0106,太上赤文洞古經註,1,長荃子,15658,注
DZ0107,無上赤文洞古真經註,1,李道純,15707,注
DZ0108,黃帝陰符經集註,1,李荃,15705,撰
DZ0109,黃帝陰符經講義,1,夏元鼎,15577,撰
DZ0110,黃帝陰符經疏,1,李荃,15705,撰
DZ0111,黃帝陰符經集解,1,曹希蘊,15679,纂
DZ0112,黃帝陰符經註,1,張果,3962,撰
DZ0113,黃帝陰符經解,1,蹇昌辰,15873,撰
DZ0114,黃帝陰符經註解,1,任照一,15517,撰
DZ0115,黃帝陰符經註,1,黃居真,15938,撰
DZ0116,黃帝陰符經註,1,沈亞夫,15746,撰
DZ0117,黃帝陰符經註,1,蔡氏,16963,撰
DZ0118,黃帝陰符經解義,1,蕭真宰,15837,撰
DZ0120,黃帝陰符經心法,1,胥元一,15814,撰
DZ0121,黃帝陰符經註,1,唐淳,15576,撰
DZ0122,黃帝陰符經註,1,劉處玄,15502,撰
DZ0123,黃帝陰符經註,1,侯善淵,15525,撰
DZ0124,黃帝陰符經註解,1,鄒訢,15686,撰
DZ0125,黃帝陰符經註,2,俞琰,15526,撰
DZ0125,黃帝陰符經註,1,師餘,15599,序
DZ0126,黃帝陰符經夾頌解註,1,王玠,15776,撰
DZ0127,黃帝陰符經集解,1,袁淑真,15849,撰
DZ0130,胎息經註,1,幻真先生,15600,注
DZ0134,陰真君還丹歌註,1,陳摶,15901,撰
DZ0134,陰真君還丹歌註,2,陳摶,15901,撰
DZ0135,崔公入藥鏡註解,1,王玠,15776,撰
DZ0136,呂純陽真人沁園春丹詞註解,2,呂喦,15565,撰
DZ0136,呂純陽真人沁園春丹詞註解,1,俞琰,15526,注
DZ0137,青天歌註釋,1,王玠,15776,注
DZ0140,上清握中訣,1,陶弘景,8506,撰
DZ0141,紫陽真人悟真篇註疏,4,張伯端,15604,撰
DZ0141,紫陽真人悟真篇註疏,3,翁葆光,15810,注
DZ0141,紫陽真人悟真篇註疏,2,陳達靈,15911,傳
DZ0141,紫陽真人悟真篇註疏,1,戴起宗,15672,編
DZ0142,紫陽真人悟真篇三註,4,陳致虛,15493,撰
