dzid,ctid,hyid,title,vols,author_index,person_name,person_id,FUNCTION,file_name,file_name_match,fuzzy_similarity,fuzzy_corpus_title,dz_txt_cjk_characters,dz_txt_file_bytes
DZ0001,1,1,靈寶無量度人上品妙經,61,2,葛巢甫,1421,,正統道藏洞真部本文類-靈寶無量度人上品妙經.txt,exact,,,352853,1316935
DZ0002,2,2,元始無量度人上品妙經直音,1,,,,,正統道藏洞真部本文類-元始無量度人上品妙經直音.txt,exact,,,9587,44783
DZ0003,3,3,元始說先天道德經註解,5,2,李家謀,15694,注,正統道藏洞真部本文類-元始說先天道德經批注-宋-李嘉謀.txt,manual,,,23188,85786
DZ0004,4,4,無上內祕真藏經,10,,,,,正統道藏洞真部本文類-無上內秘真藏經.txt,exact,,,40858,150468
DZ0005,5,5,太上無極總真文昌大洞仙經,5,1,文昌帝君,15637,撰,正統道藏洞真部本文類-太上無極總真文昌大洞仙經.txt,exact,,,13020,47577
DZ0006,6,6,上清大洞真經,6,4,朱自英,15688,序,正統道藏洞真部本文類-上清大洞真經.txt,exact,,,28677,106624
DZ0007,7,7,大洞玉經,2,1,龔德同,15949,刊記,正統道藏洞真部本文類-大洞玉經.txt,exact,,,13155,49719
DZ0008,8,8,太上三十六部尊經,6,,,,,正統道藏洞真部本文類-太上三十六尊經.txt,exact,,,24935,90344
DZ0009,9,9,太上一乘海空智藏經,10,,,,,正統道藏洞真部本文類-太上一乘海空智藏經 七寶莊嚴經.txt,exact,,,83441,305013
DZ0010,10,10,高上玉皇本行集經,3,,,,,正統道藏洞真部本文類-高上玉皇本行集經-唐-佚名.txt,manual,,,12039,44033
DZ0011,11,11,高上玉皇本行集經,3,1,張良,4732,撰,正統道藏洞真部本文類-高上玉皇本行集經-漢-張良.txt,manual,,,28100,102144
DZ0012,12,12,高上玉皇本行經髓,1,1,劉處源,15549,傳,正統道藏洞真部本文類-高上玉皇本行經髓.txt,exact,,,2263,8211
DZ0013,13,13,高上玉皇心印經,1,,,,,正統道藏洞真部本文類-高上玉皇心印經.txt,exact,,,265,1020
DZ0014,14,14,高上玉皇胎息經,1,,,,,正統道藏洞真部本文類-高上玉皇胎息經.txt,exact,,,163,621
DZ0015,15,15,無上九霄玉清大梵紫微玄都雷霆玉經,1,,,,,正統道藏洞真部本文類-無上九霄玉清大梵紫微玄都雷霆玉經.txt,exact,,,8291,29777
DZ0016,16,16,九天應元雷聲普化天尊玉樞寶經,1,,,,,正統道藏洞真部本文類-九天應元雷聲普化天尊玉樞寶經.txt,exact,,,3244,11991
