DZID,ctid,hyid,title,vols,author_index,person_name,person_id,FUNCTION,file_name_match,fuzzy_similarity,fuzzy_corpus_title,KR_ID,files,bytes,krp_characters,edition_id,krp_collapsed_from,dz_files,dz_characters,dz_bytes
DZ0001,1.0,1,靈寶無量度人上品妙經,61.0,2.0,葛巢甫,1421.0,,exact,,,KR5a0001,62.0,1404958.0,339410.0,HFL,,1.0,352853.0,1316935.0
DZ0002,2.0,2,元始無量度人上品妙經直音,1.0,,,,,exact,,,KR5a0002,7.0,41735.0,9495.0,HFL,,1.0,9587.0,44783.0
DZ0003,3.0,3,元始說先天道德經註解,5.0,2.0,李家謀,15694.0,注,manual,,,KR5a0003,6.0,84752.0,22950.0,HFL,,1.0,23188.0,85786.0
DZ0004,4.0,4,無上內祕真藏經,10.0,,,,,exact,,,KR5a0004,11.0,86088.0,23012.0,HFL,,1.0,40858.0,150468.0
DZ0005,5.0,5,太上無極總真文昌大洞仙經,5.0,1.0,文昌帝君,15637.0,撰,exact,,,KR5a0005,6.0,49598.0,12857.0,HFL,,1.0,13020.0,47577.0
DZ0006,6.0,6,上清大洞真經,6.0,4.0,朱自英,15688.0,序,exact,,,KR5a0006,7.0,104488.0,27034.0,HFL,,1.0,28677.0,106624.0
DZ0007,7.0,7,大洞玉經,2.0,1.0,龔德同,15949.0,刊記,exact,,,KR5a0007,3.0,52205.0,13425.0,HFL,,1.0,13155.0,49719.0
DZ0008,8.0,8,太上三十六部尊經,6.0,,,,,exact,,,KR5a0008,1.0,85518.0,23900.0,HFL,,1.0,24935.0,90344.0
DZ0009,9.0,9,太上一乘海空智藏經,10.0,,,,,exact,,,KR5a0009,11.0,288776.0,83049.0,HFL,,1.0,83441.0,305013.0
DZ0010,10.0,10,高上玉皇本行集經,3.0,,,,,manual,,,KR5a0010,4.0,42255.0,11967.0,HFL,,1.0,12039.0,44033.0
DZ0011,11.0,11,高上玉皇本行集經,3.0,1.0,張良,4732.0,撰,manual,,,KR5a0011,4.0,104051.0,26787.0,HFL,,1.0,28100.0,102144.0
DZ0012,12.0,12,高上玉皇本行經髓,1.0,1.0,劉處源,15549.0,傳,exact,,,KR5a0012,2.0,8508.0,2211.0,HFL,,1.0,2263.0,8211.0
DZ0013,13.0,13,高上玉皇心印經,1.0,,,,,exact,,,KR5a0013,1.0,1156.0,213.0,HFL,,1.0,265.0,1020.0
DZ0014,14.0,14,高上玉皇胎息經,1.0,,,,,exact,,,KR5a0014,1.0,14944.0,4019.0,HFL,,1.0,163.0,621.0
DZ0015,15.0,15,無上九霄玉清大梵紫微玄都雷霆玉經,1.0,,,,,exact,,,KR5a0015,1.0,28446.0,8224.0,HFL,,1.0,8291.0,29777.0
DZ0016,16.0,16,九天應元雷聲普化天尊玉樞寶經,1.0,,,,,exact,,,KR5a0016,1.0,11220.0,3194.0,HFL,,1.0,3244.0,11991.0
DZ0017,17.0,17,太上說朝天謝雷真經,1.0,,,,,exact,,,KR5a0017,1.0,14526.0,3917.0,HFL,,1.0,3961.0,14493.0
DZ0018,18.0,18,太上虛皇天尊四十九章經,1.0,,,,,exact,,,KR5a0018,1.0,13106.0,3573.0,HFL,,1.0,3635.0,13306.0
DZ0019,19.0,19,太上昇玄消災護命妙經,1.0,4.0,宋真宗,15307.0,序,manual,,,KR5a0019,2.0,1943.0,361.0,HFL,,1.0,580.0,2277.0
DZ0020,20.0,20,三光注齡資福延壽妙經,1.0,,,,,exact,,,KR5a0020,1.0,1225.0,271.0,HFL,,1.0,331.0,1226.0
DZ0021,21.0,21,太上長生延壽集福德經,1.0,,,,,exact,,,KR5a0021,1.0,2156.0,529.0,HFL,,1.0,599.0,2193.0
DZ0022,22.0,22,元始五老赤書玉篇真文天書經,3.0,1.0,葛巢甫,1421.0,,exact,,,KR5a0022,4.0,60553.0,16442.0,HFL,,1.0,16656.0,60287.0
DZ0023,23.0,23,太上諸天靈書度命妙經,1.0,,,,,exact,,,KR5a0023,1.0,20473.0,5952.0,HFL,,1.0,6044.0,21719.0
DZ0024,24.0,24,元始天尊說生天得道經,1.0,,,,,exact,,,KR5a0024,2.0,1558.0,129.0,HFL,,1.0,520.0,2098.0
DZ0025,25.0,25,元始天尊說得道了身經,1.0,,,,,exact,,,KR5a0025,1.0,4687.0,1098.0,HFL,,1.0,1374.0,4952.0
DZ0026,26.0,26,太上九天延祥滌厄四聖妙經,1.0,,,,,exact,,,KR5a0026,1.0,13055.0,3381.0,HFL,,1.0,3452.0,12732.0
DZ0027,27.0,27,元始天尊說北方真武妙經,1.0,,,,,exact,,,KR5a0027,1.0,6502.0,1632.0,HFL,,1.0,1681.0,6292.0
DZ0028,28.0,28,元始天尊說梓潼帝君應驗經,1.0,,,,,fuzzy,0.9166666666666666,元始天尊說梓童帝君應驗經,KR5a0028,2.0,4321.0,1042.0,HFL,,1.0,1086.0,3937.0
DZ0029,29.0,29,元始天尊說梓潼帝君本願經,1.0,,,,,exact,,,KR5a0029,1.0,11250.0,3117.0,HFL,,1.0,3655.0,13352.0
DZ0030,30.0,30,元始八威龍文經,1.0,,,,,exact,,,KR5a0030,2.0,2418.0,466.0,HFL,,1.0,480.0,1818.0
DZ0031,31.0,31,黃帝陰符經,1.0,,,,,exact,,,KR5a0031,1.0,1985.0,481.0,HFL,,1.0,538.0,2048.0
DZ0032,32.0,32,混元陽符經,1.0,,,,,exact,,,KR5a0032,1.0,848.0,149.0,HFL,,1.0,188.0,731.0
DZ0033,33.0,33,上清黃氣陽精三道順行經,1.0,1.0,楊羲,3527.0,輯佚,manual,,,KR5a0033,1.0,29097.0,8309.0,HFL,,1.0,8467.0,30799.0
DZ0034,34.0,34,太上開明天地本真經,1.0,1.0,通玄三教眉山師仁壽,15653.0,傳,exact,,,KR5a0034,2.0,4087.0,1000.0,HFL,,1.0,1020.0,3702.0
DZ0035,35.0,35,太上玄都妙本清淨身心經,1.0,,,,,fuzzy,0.9090909090909092,太上玄都妙本清靜身心經,KR5a0035,1.0,6666.0,1850.0,HFL,,1.0,1919.0,7066.0
DZ0036,36.0,36,太上太玄女青三元品誡拔罪妙經,3.0,,,,,exact,,,KR5a0036,4.0,33137.0,8911.0,HFL,,1.0,8972.0,32010.0
DZ0037,37.0,37,元始天尊說變化空洞妙經,1.0,,,,,exact,,,KR5a0037,1.0,18569.0,5138.0,HFL,,1.0,5236.0,19071.0
DZ0038,38.0,38,太上昇玄三一融神變化妙經,2.0,,,,,exact,,,KR5a0038,3.0,12989.0,3525.0,HFL,,1.0,3560.0,12930.0
DZ0039,39.0,39,太上導引三光九變妙經,1.0,,,,,exact,,,KR5a0039,2.0,8944.0,2200.0,HFL,,1.0,1388.0,5146.0
DZ0040,40.0,40,太上導引三光寶真妙經,1.0,,,,,exact,,,KR5a0040,1.0,4651.0,1294.0,HFL,,1.0,2179.0,8108.0
DZ0041,41.0,41,太上修真體元妙道經,1.0,1.0,劉元瑞,15535.0,輯佚,exact,,,KR5a0041,1.0,22324.0,6425.0,HFL,,1.0,6758.0,24555.0
DZ0042,42.0,42,玉清元始玄黃九光真經,1.0,,,,,exact,,,KR5a0042,2.0,3998.0,963.0,HFL,,1.0,954.0,3527.0
DZ0043,43.0,43,元始天尊說十一曜大消災神咒經,1.0,,,,,exact,,,KR5a0043,1.0,5485.0,1344.0,HFL,,1.0,1434.0,5240.0
