krp_id,dz_id,dz_path
KR5a0001,1,DZ0001_正統道藏洞真部本文類-靈寶無量度人上品妙經.txt
KR5a0002,2,DZ0002_正統道藏洞真部本文類-元始無量度人上品妙經直音.txt
KR5a0087,87,DZ0087_正統道藏洞真部玉訣類-元始無量度人上品妙經四注 附釋音-宋-陳景元.txt
KR5a0088,88,DZ0088_正統道藏洞真部玉訣類-元始無量度人上品妙經注-宋-青元真人.txt
KR5a0089,89,DZ0089_正統道藏洞真部玉訣類-元始無量度人上品妙經通義-明-張宇初.txt
KR5a0090,90,DZ0090_正統道藏洞真部玉訣類-元始無量度人上品妙經內義-宋-蕭應叟.txt
KR5a0092,91,DZ0091_正統道藏洞真部玉訣類-太上洞玄靈寶無量度人上品妙經注-元-陳致虛.txt
KR5a0093,92,dz92.txt
KR5a0094,93,DZ0093_正統道藏洞真部玉訣類-太上洞玄靈寶無量度人上品妙經法-宋-陳椿榮.txt
KR5a0095,94,DZ0094_正統道藏洞真部玉訣類-洞玄靈寶度人經大梵隱語疏義.txt
KR5a0096,95,DZ0095_正統道藏洞真部玉訣類-洞玄靈寶無量度人經訣音義-唐-張萬福.txt
KR5a0098,97,DZ0097_正統道藏洞真部玉訣類-太上靈寶諸天內音自然玉字.txt
KR5a0148,147,DZ0147_正統道藏洞真部靈圖類-靈寶無量度人上品妙經符圖-.txt
KR5a0149,148,DZ0148_正統道藏洞真部靈圖類-無量度人上品妙經旁通圖-宋-劉元道.txt
KR5a0220,219,DZ0219_正統道藏洞真部方法類-靈寶無量度人上經大法.txt
KR5b0025,341,DZ0341_正統道藏洞玄部本文類-太上洞玄靈寶十師度人妙經.txt
KR5b0268,563,DZ0563_正統道藏洞玄部方法類-太上靈寶凈明飛仙度人經法.txt
KR5b0269,564,DZ0564_正統道藏洞玄部方法類-太上靈寶凈明飛仙度人經法釋例-晉-許遜.txt
