dzid,title,file_name,file_name_match,vols,person_name,FUNCTION,dz_txt_cjk_characters,dz_txt_file_bytes
DZ0001,靈寶無量度人上品妙經,正統道藏洞真部本文類-靈寶無量度人上品妙經.txt,exact,61,葛巢甫,,352853,1316935
DZ0002,元始無量度人上品妙經直音,正統道藏洞真部本文類-元始無量度人上品妙經直音.txt,exact,1,,,9587,44783
DZ0003,元始說先天道德經註解,正統道藏洞真部本文類-元始說先天道德經批注-宋-李嘉謀.txt,manual,5,李家謀,注,23188,85786
DZ0004,無上內祕真藏經,正統道藏洞真部本文類-無上內秘真藏經.txt,exact,10,,,40858,150468
DZ0005,太上無極總真文昌大洞仙經,正統道藏洞真部本文類-太上無極總真文昌大洞仙經.txt,exact,5,文昌帝君,撰,13020,47577
DZ0006,上清大洞真經,正統道藏洞真部本文類-上清大洞真經.txt,exact,6,朱自英,序,28677,106624
DZ0007,大洞玉經,正統道藏洞真部本文類-大洞玉經.txt,exact,2,龔德同,刊記,13155,49719
DZ0008,太上三十六部尊經,正統道藏洞真部本文類-太上三十六尊經.txt,exact,6,,,24935,90344
DZ0009,太上一乘海空智藏經,正統道藏洞真部本文類-太上一乘海空智藏經 七寶莊嚴經.txt,exact,10,,,83441,305013
DZ0010,高上玉皇本行集經,正統道藏洞真部本文類-高上玉皇本行集經-唐-佚名.txt,manual,3,,,12039,44033
DZ0011,高上玉皇本行集經,正統道藏洞真部本文類-高上玉皇本行集經-漢-張良.txt,manual,3,張良,撰,28100,102144
DZ0012,高上玉皇本行經髓,正統道藏洞真部本文類-高上玉皇本行經髓.txt,exact,1,劉處源,傳,2263,8211
DZ0013,高上玉皇心印經,正統道藏洞真部本文類-高上玉皇心印經.txt,exact,1,,,265,1020
DZ0014,高上玉皇胎息經,正統道藏洞真部本文類-高上玉皇胎息經.txt,exact,1,,,163,621
DZ0015,無上九霄玉清大梵紫微玄都雷霆玉經,正統道藏洞真部本文類-無上九霄玉清大梵紫微玄都雷霆玉經.txt,exact,1,,,8291,29777
DZ0016,九天應元雷聲普化天尊玉樞寶經,正統道藏洞真部本文類-九天應元雷聲普化天尊玉樞寶經.txt,exact,1,,,3244,11991
DZ0017,太上說朝天謝雷真經,正統道藏洞真部本文類-太上說朝天謝雷真經.txt,exact,1,,,3961,14493
DZ0018,太上虛皇天尊四十九章經,正統道藏洞真部本文類-太上虛皇天尊四十九章經.txt,exact,1,,,3635,13306
DZ0019,太上昇玄消災護命妙經,正統道藏洞真部本文類-太上升玄消災護命妙經.txt,manual,1,宋真宗,序,580,2277
DZ0020,三光注齡資福延壽妙經,正統道藏洞真部本文類-三光注齡資福延壽妙經.txt,exact,1,,,331,1226
DZ0021,太上長生延壽集福德經,正統道藏洞真部本文類-太上長生延壽集福德經.txt,exact,1,,,599,2193
DZ0022,元始五老赤書玉篇真文天書經,正統道藏洞真部本文類-元始五老赤書玉篇真文天書經.txt,exact,3,葛巢甫,,16656,60287
DZ0023,太上諸天靈書度命妙經,正統道藏洞真部本文類-太上諸天靈書度命妙經.txt,exact,1,,,6044,21719
DZ0024,元始天尊說生天得道經,正統道藏洞真部本文類-元始天尊說生天得道經.txt,exact,1,,,520,2098
DZ0025,元始天尊說得道了身經,正統道藏洞真部本文類-元始天尊說得道了身經.txt,exact,1,,,1374,4952
DZ0026,太上九天延祥滌厄四聖妙經,正統道藏洞真部本文類-太上九天延祥滌厄四圣妙經.txt,exact,1,,,3452,12732
DZ0027,元始天尊說北方真武妙經,正統道藏洞真部本文類-元始天尊說北方真武妙經.txt,exact,1,,,1681,6292
DZ0028,元始天尊說梓潼帝君應驗經,正統道藏洞真部本文類-元始天尊說梓童帝君應驗經.txt,fuzzy,1,,,1086,3937
DZ0029,元始天尊說梓潼帝君本願經,正統道藏洞真部本文類-元始天尊說梓童帝君本愿經.txt,exact,1,,,3655,13352
DZ0030,元始八威龍文經,正統道藏洞真部本文類-元始八威龍文經.txt,exact,1,,,480,1818
DZ0031,黃帝陰符經,正統道藏洞真部本文類-黃帝陰符經.txt,exact,1,,,538,2048
DZ0032,混元陽符經,正統道藏洞真部本文類-混元陽符經.txt,exact,1,,,188,731
DZ0033,上清黃氣陽精三道順行經,正統道藏洞真部本文類-上清黃氣陽精三道愿行經 藏月隱日經.txt,manual,1,楊羲,輯佚,8467,30799
DZ0034,太上開明天地本真經,正統道藏洞真部本文類-太上開明天地本真經.txt,exact,1,通玄三教眉山師仁壽,傳,1020,3702
DZ0035,太上玄都妙本清淨身心經,正統道藏洞真部本文類-太上玄都妙本清靜身心經.txt,fuzzy,1,,,1919,7066
DZ0036,太上太玄女青三元品誡拔罪妙經,正統道藏洞真部本文類-太上太玄女青三元品誡拔罪妙經.txt,exact,3,,,8972,32010
DZ0037,元始天尊說變化空洞妙經,正統道藏洞真部本文類-元始天尊說變化空洞妙經.txt,exact,1,,,5236,19071
DZ0038,太上昇玄三一融神變化妙經,正統道藏洞真部本文類-太上升玄三一融神變化妙經.txt,exact,2,,,3560,12930
DZ0039,太上導引三光九變妙經,正統道藏洞真部本文類-太上導引三光九變妙經.txt,exact,1,,,1388,5146
DZ0040,太上導引三光寶真妙經,正統道藏洞真部本文類-太上導引三光寶真妙經.txt,exact,1,,,2179,8108
DZ0041,太上修真體元妙道經,正統道藏洞真部本文類-太上修真體元妙道經-宋-劉元瑞.txt,exact,1,劉元瑞,輯佚,6758,24555
DZ0042,玉清元始玄黃九光真經,正統道藏洞真部本文類-玉清元始玄黃九光真經.txt,exact,1,,,954,3527
DZ0043,元始天尊說十一曜大消災神咒經,正統道藏洞真部本文類-元始天尊說十一曜大消災神咒經.txt,exact,1,,,1434,5240
DZ0044,太上洞真五星祕授經,正統道藏洞真部本文類-太上洞真五星秘授經.txt,manual,1,,,1448,5375
DZ0045,玉清無上靈寶自然北斗本生真經,正統道藏洞真部本文類-玉清無上靈寶自然北斗本生真經.txt,exact,1,,,1180,4265
DZ0046,太乙元真保命長生經,正統道藏洞真部本文類-太乙元真保命長生經.txt,exact,1,,,641,2382
DZ0047,太上元始天尊證果真經,正統道藏洞真部本文類-太上元始天尊證果真經.txt,exact,1,,,311,1161
DZ0048,太上元始天尊說續命妙經,正統道藏洞真部本文類-太上元始天尊說續命妙經.txt,exact,1,,,320,1174
DZ0049,洞真太極北帝紫微神咒妙經,正統道藏洞真部本文類-洞真太極北帝紫微神咒妙經.txt,exact,1,,,3597,13125
DZ0050,太上說六甲直符保胎護命經,正統道藏洞真部本文類-太上說六甲直符保胎護命妙經.txt,fuzzy,1,,,2452,8994
DZ0051,太上元始天尊說大雨龍王經,正統道藏洞真部本文類-太上元始天尊說大雨龍王經.txt,exact,1,,,791,2902
DZ0052,太上護國祈雨消魔經,正統道藏洞真部本文類-太上護國祈雨消魔經.txt,exact,1,,,1070,3955
DZ0053,太上洞淵北帝天蓬護命消災神咒妙經,正統道藏洞真部本文類-太上洞淵北帝天蓬護命消災神咒妙經.txt,exact,1,,,2119,7845
DZ0054,太上洞淵辭瘟神咒妙經,正統道藏洞真部本文類-太上洞淵辭瘟神咒妙經.txt,exact,1,,,521,1894
DZ0055,高上太霄琅書瓊文帝章經,正統道藏洞真部本文類-高上太霄瑯書瓊文帝章經.txt,exact,1,,,6733,24290
DZ0056,太上玉佩金璫太極金書上經,正統道藏洞真部本文類-太上玉佩金珰太極金書上經.txt,exact,1,楊羲,,7522,27449
DZ0057,上方天尊說真元通仙道經,正統道藏洞真部本文類-上方天尊說真元通仙道經-附釋音.txt,exact,1,,,6400,23991
DZ0058,無上大乘要訣妙經,正統道藏洞真部本文類-無上大乘要訣妙經.txt,exact,1,,,3397,12454
DZ0059,元始洞真決疑經,正統道藏洞真部本文類-元始洞真決疑經.txt,exact,1,,,5327,19505
DZ0060,元始天尊說玄微妙經,正統道藏洞真部本文類-元始天尊說玄微妙經.txt,exact,1,,,2225,8178
DZ0061,太上洞真賢門經,正統道藏洞真部本文類-太上洞真賢門經.txt,exact,1,,,8273,29788
DZ0062,元始天王歡樂經,正統道藏洞真部本文類-元始天王歡樂經.txt,exact,1,,,4928,18280
DZ0063,玉清胎元內養真經,正統道藏洞真部本文類-玉清胎元內養真經.txt,exact,1,,,655,2407
DZ0064,玉清無上內景真經,正統道藏洞真部本文類-玉清無上內景真經.txt,exact,1,,,662,2384
DZ0065,太上真一報父母恩重經,正統道藏洞真部本文類-太上真一報父母恩重經.txt,exact,1,,,571,2075
DZ0066,元始洞真慈善孝子報恩成道經,正統道藏洞真部本文類-元始洞真慈善孝子報恩成道經.txt,exact,1,,,2382,9210
DZ0067,太上元始天尊說消殄蟲蝗經,正統道藏洞真部本文類-太上元始天尊說消殄蟲蝗經.txt,exact,1,,,540,1967
DZ0068,太上安鎮九壘龍神妙經,正統道藏洞真部本文類-太上安鎮九壘龍神妙經.txt,exact,1,,,521,1947
DZ0069,太上洞真安竈經,正統道藏洞真部本文類-太上洞真安灶經.txt,exact,1,,,563,2096
DZ0070,太上元始天尊說金光明經,正統道藏洞真部本文類-太上元始天尊說金光明經.txt,exact,1,,,417,1543
DZ0071,元始天尊說三官寶號經,正統道藏洞真部本文類-元始天尊說三官寶號經.txt,exact,1,,,382,1418
DZ0072,元始天尊濟度血湖真經,正統道藏洞真部本文類-元始天尊濟度血湖真經.txt,exact,3,,,3157,11532
DZ0073,元始天尊說酆都滅罪經,正統道藏洞真部本文類-元始天尊說酆都滅罪經.txt,exact,1,,,755,2869
DZ0074,太上說九幽拔罪心印妙經,正統道藏洞真部本文類-太上說九幽拔罪心印妙經.txt,exact,1,,,400,1489
DZ0075,元始天尊說甘露昇天神咒妙經,正統道藏洞真部本文類-元始天尊說甘露升天神咒妙經.txt,fuzzy,1,,,771,2822
DZ0076,元始說功德法食往生經,正統道藏洞真部本文類-元始說功德法食往生經.txt,exact,1,,,629,2305
DZ0077,太上玉華洞章拔亡度世昇仙妙經,正統道藏洞真部本文類-太上玉華洞章拔亡度世升仙妙經.txt,exact,1,,,3737,14064
DZ0078,太上三洞神咒,正統道藏洞真部本文類-太上三洞神咒.txt,exact,12,,,74420,283384
DZ0079,三洞神符記,正統道藏洞真部神符類-三洞神符記.txt,exact,1,,,4908,18394
DZ0080,雲篆度人妙經,,,1,,,,
DZ0081,洞真太微黃書天帝君石景金陽素經,正統道藏洞真部神符類-洞真太微黃書天帝君石景金陽素經.txt,exact,1,,,2434,8993
DZ0082,上清洞真元經五籍符,正統道藏洞真部神符類-上清洞真元經五籍符.txt,exact,1,,,437,1655
DZ0083,白羽黑翮靈飛玉符,正統道藏洞真部神符類-白羽黑翩靈飛玉符.txt,exact,1,,,1545,5638
DZ0084,上清瓊宮靈飛六甲左右上符,正統道藏洞真部神符類-上清瓊宮靈飛六甲左右上符.txt,exact,1,楊羲,,2745,10274
DZ0085,太上洞真經洞章符,正統道藏洞真部神符類-太上洞真經洞章符.txt,exact,1,,,1192,4582
DZ0086,太上祕法鎮宅靈符,正統道藏洞真部神符類-太上秘法鎮宅靈符.txt,manual,1,,,1343,5647
DZ0087,元始無量度人上品妙經四註,正統道藏洞真部玉訣類-元始無量度人上品妙經四注 附釋音-宋-陳景元.txt,exact,4,陳景元,撰,53875,201706
DZ0088,元始無量度人上品妙經註,正統道藏洞真部玉訣類-元始無量度人上品妙經注-宋-青元真人.txt,exact,3,東海青元真人,注,34549,126115
DZ0089,元始無量度人上品妙經通義,正統道藏洞真部玉訣類-元始無量度人上品妙經通義-明-張宇初.txt,exact,4,張宇初,撰,35287,127114
DZ0090,元始無量度人上品妙經內義,正統道藏洞真部玉訣類-元始無量度人上品妙經內義-宋-蕭應叟.txt,exact,5,蕭應叟,撰,50099,183830
DZ0091,太上洞玄靈寶無量度人上品妙經註解,正統道藏洞真部玉訣類-太上洞玄靈寶無量度人上品妙經注-元-陳致虛.txt,manual,3,陳致虛,撰,42672,154965
DZ0092,元始無量度人上品妙經註解,正統道藏洞真部玉訣類-附內義丹旨綱目舉要-宋-林元鼎.txt,fuzzy,3,薛季昭,撰,2818,10304
DZ0093,太上洞玄靈寶無量度人上品經法,正統道藏洞真部玉訣類-太上洞玄靈寶無量度人上品妙經法-宋-陳椿榮.txt,fuzzy,5,陳春榮,纂,40635,152717
DZ0094,洞玄靈寶度人經大梵隱語疏義,正統道藏洞真部玉訣類-洞玄靈寶度人經大梵隱語疏義.txt,exact,1,,,6823,24371
DZ0095,洞玄靈寶無量度人經訣音義,正統道藏洞真部玉訣類-洞玄靈寶無量度人經訣音義-唐-張萬福.txt,exact,1,張萬福,撰,2893,10805
DZ0096,真藏經要訣,正統道藏洞真部玉訣類-真藏經要訣.txt,exact,1,,,1807,6744
DZ0097,太上靈寶諸天內音自然玉字,正統道藏洞真部玉訣類-太上靈寶諸天內音自然玉字.txt,exact,4,葛巢甫,,27500,98654
DZ0098,諸天靈書度命妙經義疏,正統道藏洞真部本文類-太上諸天靈書度命妙經.txt,manual,1,,,6044,21719
DZ0099,九天應元雷聲普化天尊玉樞寶經集註,正統道藏洞真部玉訣類-九天應元雷聲普化天尊玉樞寶經集注-宋-白玉蟾.txt,exact,2,徐道齡,撰,15442,56048
DZ0100,太上昇玄說消災護命妙經註,正統道藏洞真部玉訣類-太上升玄說消災護命妙經注-元-王玠.txt,fuzzy,1,王玠,撰,3522,12903
DZ0101,太上昇玄消災護命妙經註,正統道藏洞真部玉訣類-太上升玄消災護命妙經注-元-李道純.txt,fuzzy,1,李道純,撰,1270,4821
DZ0102,元始天尊說太古經註,正統道藏洞真部玉訣類-元始天尊說太古經注-金-長詮子.txt,exact,1,長荃子,撰,2618,9952
DZ0103,玉清無極總真文昌大洞仙經註,正統道藏洞真部玉訣類-玉清無極總真文昌大洞仙經-元-衛琪.txt,fuzzy,9,衛琪,撰,89425,327743
DZ0104,上清大洞真經玉訣音義,正統道藏洞真部玉訣類-上清大洞真經玉訣音義-宋-陳景元.txt,exact,1,陳景元,撰,5610,21122
DZ0105,太上大通經註,正統道藏洞真部玉訣類-太上大通經注-元-李道純.txt,exact,1,李道純,注,946,3466
DZ0106,太上赤文洞古經註,正統道藏洞真部玉訣類-太上赤文洞古經注-金-長詮子.txt,exact,1,長荃子,注,1641,6290
DZ0107,無上赤文洞古真經註,正統道藏洞真部玉訣類-無上赤文洞古真經注-元-李道純.txt,exact,1,李道純,注,1746,6445
DZ0108,黃帝陰符經集註,正統道藏洞真部玉訣類-黃帝陰符經集注-唐-李筌.txt,exact,1,李荃,撰,3796,14131
DZ0109,黃帝陰符經講義,正統道藏洞真部玉訣類-黃帝陰符經講義-宋-夏元鼎.txt,exact,3,夏元鼎,撰,11479,41137
DZ0110,黃帝陰符經疏,正統道藏洞真部玉訣類-黃帝陰符經疏-唐-李筌.txt,exact,3,李荃,撰,8652,31705
DZ0111,黃帝陰符經集解,正統道藏洞真部玉訣類-黃帝陰符經集解.txt,manual,3,曹希蘊,纂,7828,28691
DZ0112,黃帝陰符經註,正統道藏洞真部玉訣類-黃帝陰符經注-唐-張果.txt,manual,1,張果,撰,2908,11029
DZ0113,黃帝陰符經解,正統道藏洞真部玉訣類-黃帝陰符經解-宋-蹇昌辰.txt,exact,1,蹇昌辰,撰,6258,22575
DZ0114,黃帝陰符經註解,正統道藏洞真部玉訣類-黃帝陰符經批注-宋-任照一.txt,exact,1,任照一,撰,5823,20862
DZ0115,黃帝陰符經註,正統道藏洞真部玉訣類-黃帝陰符經注-宋-黃居真.txt,manual,1,黃居真,撰,2828,10488
DZ0116,黃帝陰符經註,正統道藏洞真部玉訣類-黃帝陰符經注-宋-沈亞夫.txt,manual,1,沈亞夫,撰,1745,6662
DZ0117,黃帝陰符經註,正統道藏洞真部玉訣類-黃帝陰符經注-宋-蔡望.txt,manual,1,蔡氏,撰,1699,6205
