KR_ID,CUSTOM_ID,title,KR_ID_source,CBETA_ID,DZID
KR6a0001,T01n0001,T01n0001 長阿含經,catalog,T01n0001,
KR6a0002,T01n0002,T01n0002 七佛經,catalog,T01n0002,
KR6a0003,T01n0003,T01n0003 毘婆尸佛經,catalog,T01n0003,
KR6a0004,T01n0004,T01n0004 七佛父母姓字經,catalog,T01n0004,
KR6a0005,T01n0005,T01n0005 佛般泥A經,catalog,T01n0005,
KR6a0006,T01n0006,T01n0006 般泥A經,catalog,T01n0006,
KR6a0007,T01n0007,T01n0007 大般涅槃經,catalog,T01n0007,
KR6a0008,T01n0008,T01n0008 大堅固婆羅門縁起經,catalog,T01n0008,
KR6a0009,T01n0009,T01n0009 人仙經,catalog,T01n0009,
KR6a0010,T01n0010,T01n0010 白衣金幢二婆羅門縁起經,catalog,T01n0010,
KR6a0011,T01n0011,T01n0011 尼拘陀梵志經,catalog,T01n0011,
KR6a0012,T01n0012,T01n0012 大集法門經,catalog,T01n0012,
KR6a0013,T01n0013,T01n0013 長阿含十報法經,catalog,T01n0013,
KR6a0014,T01n0014,T01n0014 人本欲生經,catalog,T01n0014,
KR6a0015,T01n0015,T01n0015 帝釋所問經,catalog,T01n0015,
KR6a0016,T01n0016,T01n0016 尸迦羅越六方禮經,catalog,T01n0016,
KR6a0017,T01n0017,T01n0017 善生子經,catalog,T01n0017,
KR6a0018,T01n0018,T01n0018 信佛功徳經,catalog,T01n0018,
KR6a0019,T01n0019,T01n0019 大三摩惹經,catalog,T01n0019,
KR6a0020,T01n0020,T01n0020 佛開解梵志阿L經,catalog,T01n0020,
KR6a0021,T01n0021,T01n0021 梵網六十二見經,catalog,T01n0021,
KR6a0022,T01n0022,T01n0022 寂志果經,catalog,T01n0022,
KR6a0023,T01n0023,T01n0023 大樓炭經,catalog,T01n0023,
KR6a0024,T01n0024,T01n0024 起世經,catalog,T01n0024,
KR6a0025,T01n0025,T01n0025 起世因本經,catalog,T01n0025,
KR6a0026,T01n0026,T01n0026 中阿含經,catalog,T01n0026,
KR6a0027,T01n0027,T01n0027 七智經,catalog,T01n0027,
KR6a0028,T01n0028,T01n0028 園生樹經,catalog,T01n0028,
KR6a0029,T01n0029,T01n0029 鹹水喩經,catalog,T01n0029,
KR6a0030,T01n0030,T01n0030 薩鉢多酥哩踰捺野經,catalog,T01n0030,
KR6a0031,T01n0031,T01n0031 一切流攝守因經,catalog,T01n0031,
KR6a0032,T01n0032,T01n0032 四諦經,catalog,T01n0032,
KR6a0033,T01n0033,T01n0033 恒水經,catalog,T01n0033,
KR6a0034,T01n0034,T01n0034 法海經,catalog,T01n0034,
KR6a0035,T01n0035,T01n0035 海八徳經,catalog,T01n0035,
KR6a0036,T01n0036,T01n0036 本相倚致經,catalog,T01n0036,
KR6a0037,T01n0037,T01n0037 縁本致經,catalog,T01n0037,
KR6a0038,T01n0038,T01n0038 輪王七寶經,catalog,T01n0038,
KR6a0039,T01n0039,T01n0039 頂生王故事經,catalog,T01n0039,
KR6a0040,T01n0040,T01n0040 文拏竭王經,catalog,T01n0040,
KR6a0041,T01n0041,T01n0041 頻婆娑羅王經,catalog,T01n0041,
KR6a0042,T01n0042,T01n0042 鐵城泥犁經,catalog,T01n0042,
KR6a0043,T01n0043,T01n0043 閻羅王五天使者經,catalog,T01n0043,
KR6a0044,T01n0044,T01n0044 古來世時經,catalog,T01n0044,
KR6a0045,T01n0045,T01n0045 大正句王經,catalog,T01n0045,
KR6a0046,T01n0046,T01n0046 阿那律八念經,catalog,T01n0046,
KR6a0047,T01n0047,T01n0047 離睡經,catalog,T01n0047,
KR6a0048,T01n0048,T01n0048 是法非法經,catalog,T01n0048,
KR6a0049,T01n0049,T01n0049 求欲經,catalog,T01n0049,
KR6a0050,T01n0050,T01n0050 受歳經,catalog,T01n0050,
KR6a0051,T01n0051,T01n0051 梵志計水淨經,catalog,T01n0051,
KR6a0052,T01n0052,T01n0052 大生義經,catalog,T01n0052,
KR6a0053,T01n0053,T01n0053 苦陰經,catalog,T01n0053,
KR6a0054,T01n0054,T01n0054 釋摩男本四子經,catalog,T01n0054,
KR6a0055,T01n0055,T01n0055 苦陰因事經,catalog,T01n0055,
KR6a0056,T01n0056,T01n0056 樂想經,catalog,T01n0056,
KR6a0057,T01n0057,T01n0057 漏分布經,catalog,T01n0057,
KR6a0058,T01n0058,T01n0058 阿耨風經,catalog,T01n0058,
KR6a0059,T01n0059,T01n0059 諸法本經,catalog,T01n0059,
KR6a0060,T01n0060,T01n0060 瞿曇彌記果經,catalog,T01n0060,
KR6a0061,T01n0061,T01n0061 受新歳經,catalog,T01n0061,
KR6a0062,T01n0062,T01n0062 新歳經,catalog,T01n0062,
KR6a0063,T01n0063,T01n0063 解夏經,catalog,T01n0063,
KR6a0064,T01n0064,T01n0064 瞻婆比丘經,catalog,T01n0064,
KR6a0065,T01n0065,T01n0065 伏婬經,catalog,T01n0065,
KR6a0066,T01n0066,T01n0066 魔B亂經,catalog,T01n0066,
KR6a0067,T01n0067,T01n0067 弊魔試目連經,catalog,T01n0067,
KR6a0068,T01n0068,T01n0068 頼C和羅經,catalog,T01n0068,
KR6a0069,T01n0069,T01n0069 護國經,catalog,T01n0069,
KR6a0070,T01n0070,T01n0070 數經,catalog,T01n0070,
KR6a0071,T01n0071,T01n0071 梵志D波羅延問種尊經,catalog,T01n0071,
KR6a0072,T01n0072,T01n0072 三歸五戎慈心厭離功徳經,catalog,T01n0072,
KR6a0073,T01n0073,T01n0073 須達經,catalog,T01n0073,
KR6a0074,T01n0074,T01n0074 長者施報經,catalog,T01n0074,
KR6a0075,T01n0075,T01n0075 佛爲黄竹園老婆羅門説學經,catalog,T01n0075,
KR6a0076,T01n0076,T01n0076 梵摩渝經,catalog,T01n0076,
KR6a0077,T01n0077,T01n0077 尊上經,catalog,T01n0077,
KR6a0078,T01n0078,T01n0078 兜調經,catalog,T01n0078,
KR6a0079,T01n0079,T01n0079 鸚鵡經,catalog,T01n0079,
KR6a0080,T01n0080,T01n0080 佛爲首伽長者説業報差別經,catalog,T01n0080,
KR6a0081,T01n0081,T01n0081 分別善惡報應經,catalog,T01n0081,
KR6a0082,T01n0082,T01n0082 意經,catalog,T01n0082,
KR6a0083,T01n0083,T01n0083 應法經,catalog,T01n0083,
KR6a0084,T01n0084,T01n0084 分別布施經,catalog,T01n0084,
KR6a0085,T01n0085,T01n0085 息諍因縁經,catalog,T01n0085,
KR6a0086,T01n0086,T01n0086 泥犁經,catalog,T01n0086,
KR6a0087,T01n0087,T01n0087 齋經,catalog,T01n0087,
