person_name,dynasty,work_count,functions,sample_kr_id,qid
何犿,元,1,注,KR3c0005,
保巴,元,1,撰,KR1a0073,
俞皋,元,1,撰,KR1e0056,Q45435415
劉有,元,1,定註,KR3h0038,
史伯璿,元,2,撰,KR1h0040,Q45432810
司農司,元,1,撰,KR3d0003,
吳臯,元,1,撰,KR4d0565,Q10923894
徐天祐,元,1,注,KR2i0001,Q45547952
敖繼公,元,1,撰,KR1d0035,Q45700819
沙克什,元,1,撰,KR2k0063,
沙圖穆蘇,元,1,撰,KR3e0058,
潘昴霄,元,1,撰,KR4i0048,
熊明來,元,1,撰,KR1g0013,
王元杰,元,1,撰,KR1e0063,
白挺,元,1,撰,KR3j0137,
納新,元,1,撰,KR2k0134,
胡祗遹,元,1,撰,KR4d0443,Q10489840
董鼎,元,2,撰,KR1b0029,
蔣正子,元,1,撰,KR3l0080,
蕭㪺,元,1,撰,KR4d0490,
詹烜,元,1,撰,KR4d0584,
譚善心,元,1,重編,KR4h0031,
趙仁舉,元,1,注,KR4c0063,
鄭枃,元,1,撰,KR3h0038,
錫喇布哈,元,1,編,KR4d0497,
陰勁弦,元,1,編,KR3k0039,
陳宜甫,元,1,撰,KR4d0470,
陳籲,元,1,編,KR4d0516,
章琬,元,1,編,KR4d0587,
章祖程,元,1,注,KR4d0395,
饒介之,元,1,輯,KR4d0499,Q10566275
高德基,元,1,撰,KR2k0123,
盧辯,北周,1,註,KR1d0076,
衞元嵩,北周,1,撰,KR3g0003,Q2648952
劉晝,北齊,1,撰,KR3j0013,
裴駰,南朝宋,2,撰;集解,KR2a0001,https://zh.wikipedia.org/zh-hant/%E8%A3%B4%E9%AA%83
釋法顯,南朝宋,1,撰,KR2k0136,Q312978
謝眺,南齊,1,撰,KR4b0012,Q6133576
尹喜,周,1,撰,KR5c0048,Q1037458
公羊高,周,1,撰,KR1e0006,Q17500076
卜商,周,2,撰,KR1a0002,Q10944085
尉繚,周,1,撰,KR3b0006,
秦越人,周,1,撰,KR3e0004,Q855326
穀梁赤,周,1,撰,KR1e0010,Q22100820
辛鈃,周,1,撰,KR5c0118,Q18234350
丘光庭,唐,1,撰,KR3j0029,
何粲,唐,1,撰,KR5d0037,
何超,唐,1,撰,KR2a0015,
元禛,唐,1,撰,KR4c0068,
唐玄度,唐,1,撰,KR1j0025,
因亮,唐,1,撰,KR4c0028,
太宗,唐,1,撰,KR3a0016,Q9701
孫強,唐,1,增補,KR1j0022,
成伯璵,唐,1,撰,KR1c0007,
斐庭裕,唐,1,撰,KR2e0008,
曾文辿,唐,1,撰,KR3g0022,Q10324841
李上交,唐,1,撰,KR3j0030,Q18905927
李匡乂,唐,1,撰,KR3j0026,Q11095606
李沖昭,唐,1,撰,KR2k0083,
李筌,唐,2,撰;註,KR3b0011,Q11097662
李籍,唐,2,撰,KR3f0001,Q10337917
李羣玉,唐,1,撰,KR4c0081,Q11097805
楊士勛,唐,1,疏,KR1e0010,Q17027139
殷敬慎,唐,1,釋文,KR5c0125,
竇[自/豕],唐,1,撰,KR3h0007,
薛用弱,唐,1,撰,KR3l0104,Q10513987
谷神子,唐,1,撰,KR3l0104,Q16260209
釋玄奘,唐,1,譯,KR2k0137,Q42063
釋神珙,唐,1,撰,KR1j0022,Q15894814
釋豐干,唐,1,撰,KR4c0002,Q618915
釋辯機,唐,1,撰,KR2k0137,Q4902537
釋齊己,唐,1,撰,KR4c0109,
陸廣微,唐,1,撰,KR2k0091,
馮翊子,唐,1,撰,KR3l0108,Q45490474
高宗趙構,唐,1,御撰,KR3h0013,Q7489
丁易東,宋,2,撰,KR1a0066,
于石,宋,1,撰,KR4d0410,
仲幷,宋,1,撰,KR4d0200,
何大任,宋,2,校訂;編,KR3e0031,
何谿汶,宋,1,撰,KR4i0041,
余仲荀,宋,1,編,KR4d0023,
俞松,宋,1,撰,KR2n0023,
倪守約,宋,1,撰,KR2k0085,
倪朴,宋,1,撰,KR4d0239,
傳肱,宋,1,撰,KR3i0046,
劉仲甫,宋,1,撰,KR3h0082,Q11398281
劉才卲,宋,1,撰,KR4d0157,
劉溫舒,宋,1,撰,KR3e0024,
劉道醇,宋,2,撰,KR3h0014,Q45395047
句延慶,宋,1,撰,KR2i0014,
史彌寧,宋,1,撰,KR4d0325,Q45388370
吳聿,宋,1,撰,KR4i0026,
周淙,宋,1,撰,KR2k0011,Q45356012
周羽翀,宋,1,撰,KR2i0013,
唐積,宋,1,撰,KR3i0004,
姚龍起,宋,1,編,KR4d0364,
孟元老,宋,1,撰,KR2k0111,Q10118904
孫奕,宋,1,撰,KR3j0118,Q45428299
宇文懋昭,宋,1,撰,KR2d0010,
宋子安,宋,1,撰,KR3i0023,
家誠之,宋,1,編,KR4d0048,
寇宗奭,宋,1,衍義,KR3e0028,Q10258302
廬祖皐,宋,1,撰,KR4j0045,
張大亨,宋,2,撰,KR1e0030,Q45411382
張孝洋,宋,1,撰,KR4j0033,
張戒,宋,1,撰,KR4i0021,Q16075465
張戴,宋,1,撰,KR3a0026,
張知甫,宋,1,撰,KR3l0065,
張齋賢,宋,1,撰,KR3l0025,
徐子光,宋,1,註,KR3k0010,
徐子平,宋,1,撰,KR3g0037,Q10296341
徐總幹,宋,1,撰,KR1a0044,
文安禮,宋,1,撰,KR4c0050,
方聞一,宋,1,編,KR1a0041,Q45429093
晁貫一,宋,1,撰,KR3i0011,
晏天章,宋,1,撰,KR3h0081,
朱橰,宋,1,撰,KR4d0171,
朱翼中,宋,1,撰,KR3i0026,Q11094664
朱辨,宋,1,撰,KR3j0101,
李孝美,宋,1,撰,KR3i0010,
李樗,宋,1,撰,KR1c0012,Q45379293
東軒居士,宋,1,撰,KR3e0035,
林堯叟,宋,1,注,KR1e0092,
林子長,宋,1,箋解,KR4h0056,
林岊,宋,1,撰,KR1c0020,Q45408869
林師藏,宋,1,增修,KR4h0048,
林虙,宋,1,編,KR2f0011,Q45371508
林駧,宋,1,撰,KR3k0031,
楊長孺,宋,1,編,KR4d0266,Q22100286
歐陽德隆,宋,1,撰,KR1j0062,
江遹,宋,1,撰,KR5c0121,
汪元量,宋,1,撰,KR4d0390,Q17028709
汪夢斗,宋,1,撰,KR4d0385,Q45425875
沈斐,宋,1,輯,KR4d0072,
沈義父,宋,1,撰,KR4j0078,Q45433997
洪咨虁,宋,1,撰,KR1e0051,
洪遂,宋,1,原本,KR4h0155,
湯允謨,宋,1,撰,KR3j0169,Q45488587
滄州樵叟,宋,1,撰,KR2g0027,
滕甫,宋,1,撰,KR2g0053,
熊孟秉,宋,1,編,KR4d0396,
王古,宋,1,編,KR4d0008,Q45359558
王宗稷,宋,2,撰;編,KR4d0076,
王晳,宋,1,撰,KR1e0019,Q109412916
王觀國,宋,1,撰,KR3j0037,Q16260392
王霆震,宋,1,編,KR4h0058,
田况,宋,1,撰,KR3l0029,Q24832192
祖行,宋,1,編,KR4d0055,
程迥,宋,1,撰,KR1a0030,Q10452159
竇苹,宋,1,撰,KR3i0027,
童宗說,宋,1,註釋,KR4c0049,
翁葆光,宋,1,撰;註,KR5a0142,
耐得翁,宋,1,撰,KR2k0117,
胡知柔,宋,1,撰,KR2g0011,
葉□,宋,1,撰,KR3j0057,
葉棻,宋,1,編,KR4h0043,
葉采,宋,1,集解,KR3a0042,Q45449625
董嗣杲,宋,2,撰,KR4d0399,Q45427397
董更,宋,1,撰,KR3h0035,
董衝進,宋,1,撰,KR2a0027,
蒲壽宬,宋,1,撰,KR4d0415,Q16076934
蒲積中,宋,1,編,KR4h0035,
蔡夢弼,宋,1,撰,KR4i0040,
蔡正孫,宋,1,撰,KR4i0045,Q45557920
蔣鐄,宋,1,輯,KR4d0018,
薛旦,宋,1,編,KR4d0264,
蘇携,宋,1,編,KR4d0035,
衞博,宋,1,撰,KR4d0241,
衞涇,宋,1,撰,KR4d0290,
衞湜,宋,1,撰,KR1d0057,
袁□,宋,1,撰,KR3l0056,
襲明之,宋,1,撰,KR2k0114,
謝維新,宋,1,編,KR3k0030,
賴文俊,宋,1,撰,KR3g0026,
