person_name,dynasty,work_count,functions,sample_kr_id,qid,cbdb_id,norbert_id,cbdb_hint
王禕,明,5,刊定;奉敕撰;撰,KR2a0036,,,,元史→陶凱(cbdb:34415); 元史→尚絅(cbdb:576940)
何大任,宋,2,校訂;編,KR3e0031,,,,
來保,清,2,奉敕撰,KR2c0011,,,,
劉道醇,宋,2,撰,KR3h0014,,,,
戴原禮,明,2,撰;校補,KR3e0062,,,,
李蓘,明,2,編,KR4h0113,,,,
王宗稷,宋,2,撰;編,KR4d0076,,,,
范能濬,清,2,輯;輯補,KR4d0025,,,,
荀悅,漢,2,撰,KR2b0003,,,,
董鼎,元,2,撰,KR1b0029,,,,
虞堪,明,2,撰;編,KR4d0494,,,,
裴駰,南朝宋,2,撰;集解,KR2a0001,,,,
陳起,宋,2,編,KR4h0053,,,,
高保衡,宋,2,校正;校注,KR3e0005,,,,
魏之琇,清,2,撰;考證,KR3e0075,,,,名醫類案→許璞(cbdb:695428); 續名醫類案→吳業(cbdb:692408)
魏仲舉,宋,2,編,KR4c0045,,,,
黃石公,秦,2,撰,KR3b0007,,,,
世宗胤禎,清,1,御定,KR1f0012,,,,
丘光庭,唐,1,撰,KR3j0029,,,,
丘爾穀,明,1,編,KR4e0115,,,,
于文煕,明,1,補,KR3j0102,,,,
于石,宋,1,撰,KR4d0410,,,,
仲幷,宋,1,撰,KR4d0200,,,,
何休,漢,1,解詁,KR1e0006,,,,
何犿,元,1,注,KR3c0005,,,,
何粲,唐,1,撰,KR5d0037,,,,
何谿汶,宋,1,撰,KR4i0041,,,,
何超,唐,1,撰,KR2a0015,,,,
余仲荀,宋,1,編,KR4d0023,,,,
保巴,元,1,撰,KR1a0073,,,,
俞松,宋,1,撰,KR2n0023,,,,
倪守約,宋,1,撰,KR2k0085,,,,
傳肱,宋,1,撰,KR3i0046,,,,
元禛,唐,1,撰,KR4c0068,,,,
劉允鵬,明,1,注,KR3k0005,,,,
劉卲,魏,1,撰,KR3j0011,,,,
劉可書,清,1,編,KR4f0017,,,,
劉才卲,宋,1,撰,KR4d0157,,,,
劉晝,北齊,1,撰,KR3j0013,,,,
劉有,元,1,定註,KR3h0038,,,,
劉梗,明,1,編,KR4d0256,,,,
劉溫舒,宋,1,撰,KR3e0024,,,,
劉純續,明,1,增,KR3e0068,,,,
包儀,清,1,撰,KR1a0135,,,,
厲鄂,清,1,撰,KR2k0132,,,,
句延慶,宋,1,撰,KR2i0014,,,,
司農司,元,1,撰,KR3d0003,,,,
吳之鯨,明,1,撰,KR2k0098,,,,
吳平,漢,1,撰,KR2i0002,,,,
吳聿,宋,1,撰,KR4i0026,,,,
周子愚,明,1,筆錄,KR3f0010,,,,
周沈珂,清,1,編,KR4d0065,,,,
周維鑣,清,1,輯,KR4e0130,,,,
周羽翀,宋,1,撰,KR2i0013,,,,
唐元竑,明,1,撰,KR4c0019,,,,
唐玄度,唐,1,撰,KR1j0025,,,,
唐積,宋,1,撰,KR3i0004,,,,
喇沙里,清,1,奉敕編,KR1h0053,,,,
因亮,唐,1,撰,KR4c0028,,,,
太宰純,日本,1,音,KR1f0003,,,,
姜垐,清,1,撰,KR4f0028,,,,
孔晁,晉,1,注,KR2d0001,,,,
孔藏,漢,1,撰,KR3a0003,,,,
孫強,唐,1,增補,KR1j0022,,,,
宇文懋昭,宋,1,撰,KR2d0010,,,,
宋俊,清,1,增補,KR2k0129,,,,
宋公傳,明,1,編,KR4h0100,,,,
宋子安,宋,1,撰,KR3i0023,,,,
宋挺佐,明,1,輯,KR4d0452,,,,
宋詡,明,1,撰,KR3j0171,,,,
宗懍,梁,1,撰,KR2k0105,,,,
家誠之,宋,1,編,KR4d0048,,,,
尉繚,周,1,撰,KR3b0006,,,,
屠文漪,清,1,撰,KR3f0056,,,,
山井鼎,日本,1,撰,KR1g0020,,,,
崔衢亭,清,1,奉敕編,KR4f0004,,,,
嵇含,晉,1,撰,KR2k0104,,,,
廬祖皐,宋,1,撰,KR4j0045,,,,
弘毓圻,清,1,撰,KR2m0033,,,,
張內蘊,明,1,撰,KR2k0070,,,,
張孝洋,宋,1,撰,KR4j0033,,,,
張戴,宋,1,撰,KR3a0026,,,,
張知甫,宋,1,撰,KR3l0065,,,,
張靄生,清,1,編述,KR2k0076,,,,
張齋賢,宋,1,撰,KR3l0025,,,,
徐伯齡,明,1,撰,KR3j0152,,,,
徐克范,清,1,補,KR2a0005,,,,
徐庭垣,清,1,撰,KR1e0106,,,,
徐文炳,清,1,注,KR4b0019,,,,
徐總幹,宋,1,撰,KR1a0044,,,,
成伯璵,唐,1,撰,KR1c0007,,,,
戴難,明,1,編,KR4e0098,,,,
文安禮,宋,1,撰,KR4c0050,,,,
晁貫一,宋,1,撰,KR3i0011,,,,墨經→晁貫之(cbdb:13534)
晏天章,宋,1,撰,KR3h0081,,,,
曾儼,清,1,編,KR4d0064,,,,
朱橰,宋,1,撰,KR4d0171,,,,
朱辨,宋,1,撰,KR3j0101,,,,
李光暎,清,1,撰,KR2n0042,,,,
李孝美,宋,1,撰,KR3i0010,,,,
李沖昭,唐,1,撰,KR2k0083,,,,
李羣玉,唐,1,撰,KR4c0081,,,,
李衞,清,1,監修,KR2k0041,,,,
杜公瞻,隋,1,撰,KR3k0002,,,,
東軒居士,宋,1,撰,KR3e0035,,,,
林堯叟,宋,1,注,KR1e0092,,,,
林子長,宋,1,箋解,KR4h0056,,,,
林師藏,宋,1,增修,KR4h0048,,,,
林駧,宋,1,撰,KR3k0031,,,,
柯尚遷,明,1,撰,KR1d0016,,,,
柴復貞,明,1,編,KR4h0068,,,,
梁賓,清,1,編,KR4b0015,,,,
楊時偉,明,1,編,KR2g0014,,,,
楊道聲,清,1,撰,KR1a0134,,,,
歐陽德隆,宋,1,撰,KR1j0062,,,,
歐陽鉞,明,1,輯,KR4d0189,,,,
殷敬慎,唐,1,釋文,KR5c0125,,,,
江遹,宋,1,撰,KR5c0121,,,,
池本理,明,1,撰,KR3g0049,,,,
沈名蓀,清,1,輯,KR2h0003,,,,
沈斐,宋,1,輯,KR4d0072,,,,
沈義父,宋,1,撰,KR4j0078,,,,
沙克什,元,1,撰,KR2k0063,,,,
沙圖穆蘇,元,1,撰,KR3e0058,,,,
洪咨虁,宋,1,撰,KR1e0051,,,,
洪遂,宋,1,原本,KR4h0155,,,,
滄州樵叟,宋,1,撰,KR2g0027,,,,
潘昴霄,元,1,撰,KR4i0048,,,,
潘永因,清,1,編,KR3k0065,,,,
熊孟秉,宋,1,編,KR4d0396,,,,
熊明來,元,1,撰,KR1g0013,,,,
物觀,,1,補遺,KR1g0020,,,,
王元杰,元,1,撰,KR1e0063,,,,
王原采,明,1,撰,KR4e0076,,,,
王子接,清,1,撰,KR3e0095,,,,
王庭曾,清,1,重編,KR4d0135,,,,
王燧,明,1,撰,KR4e0089,,,,青城山人集→文靖(cbdb:126499)
王霆震,宋,1,編,KR4h0058,,,,
珞琭子,,1,撰,KR3g0038,,,,
白挺,元,1,撰,KR3j0137,,,,湛淵靜語→白珽(cbdb:10833)
盧辯,北周,1,註,KR1d0076,,,,
祖行,宋,1,編,KR4d0055,,,,
程川,清,1,撰,KR1g0027,,,,
程林,清,1,刪定,KR3e0027,,,,
程道生,明,1,撰,KR3g0048,,,,
程長,明,1,輯,KR4e0075,,,,
穀梁赤,周,1,撰,KR1e0010,,,,
竇[自/豕],唐,1,撰,KR3h0007,,,,
竇苹,宋,1,撰,KR3i0027,,,,
章琬,元,1,編,KR4d0587,,,,
章祖程,元,1,注,KR4d0395,,,,
童宗說,宋,1,註釋,KR4c0049,,,,
納新,元,1,撰,KR2k0134,,,,
羅𤣱,明,1,撰,KR4e0139,,,,
翁葆光,宋,1,撰;註,KR5a0142,,,,
翟圴廉,清,1,撰,KR1a0162,,,,
耐得翁,宋,1,撰,KR2k0117,,,,
耶律純,遼,1,撰,KR3g0039,,,,
胡我琨,明,1,撰,KR2m0046,,,,
胡爌,明,1,撰,KR3j0068,,,,
胡知柔,宋,1,撰,KR2g0011,,,,
胡鳴玉,清,1,撰,KR3j0078,,,,
范望,晉,1,注,KR3g0001,,,,
華汝德,明,1,編,KR4e0118,,,,
葉□,宋,1,撰,KR3j0057,,,,
葉山,明,1,撰,KR1a0102,,,,
葛萬里,清,1,撰,KR3k0064,,,,
董更,宋,1,撰,KR3h0035,,,,
董衝進,宋,1,撰,KR2a0027,,,,
蒙古薩囊徹辰,清,1,撰,KR2e0022,,,,
蒲積中,宋,1,編,KR4h0035,,,,
蔡夢弼,宋,1,撰,KR4i0040,,,,
蔣正子,元,1,撰,KR3l0080,,,,
蔣鐄,宋,1,輯,KR4d0018,,,,
蕭㪺,元,1,撰,KR4d0490,,,,
蕭綺,梁,1,輯編,KR3l0098,,,,
薛己,明,1,撰,KR3e0070,,,,
薛旦,宋,1,編,KR4d0264,,,,
薛虞畿,明,1,撰,KR2d0015,,,,
蘇携,宋,1,編,KR4d0035,,,,
衞元嵩,北周,1,撰,KR3g0003,,,,
衞博,宋,1,撰,KR4d0241,,,,
衞宏,漢,1,撰,KR2m0020,,,,
衞涇,宋,1,撰,KR4d0290,,,,
衞湜,宋,1,撰,KR1d0057,,,,
袁□,宋,1,撰,KR3l0056,,,,
袁衮,明,1,撰,KR3a0095,,,,世緯→胥臺(cbdb:35261)
褚峻,清,1,摹圖,KR2n0046,,,,
襲明之,宋,1,撰,KR2k0114,,,,
西方子,,1,撰,KR3e0018,,,,
解悅,清,1,編,KR4e0083,,,,
許重炎,清,1,編,KR4f0036,,,,
詩正,梁,1,奉敕撰,KR3h0062,,,,
詹烜,元,1,撰,KR4d0584,,,,
謝維新,宋,1,編,KR3k0030,,,,
譚善心,元,1,重編,KR4h0031,,,,
賴文俊,宋,1,撰,KR3g0026,,,,
趙仁舉,元,1,注,KR4c0063,,,,
趙宜中,明,1,注,KR1j0088,,,,
趙希弁,宋,1,編;續輯,KR2n0002,,,,
趙彥衞,宋,1,撰,KR3j0117,,,,
趙時庾,宋,1,撰,KR3i0036,,,,
辛鈃,周,1,撰,KR5c0118,,,,
郁逢慶,明,1,編,KR3h0054,,,,
郭守正,宋,1,增修,KR1j0062,,,,
郭宗昌,明,1,撰,KR2n0034,,,,
郭知達,宋,1,集注,KR4c0015,,,,
郭稽中,宋,1,編,KR3e0040,,,,
郭載騋,清,1,校訂,KR3g0031,,,,
鄧伯羔,明,1,撰,KR3j0061,,,,
鄧椿年,宋,1,編,KR3k0018,,,,
鄭枃,元,1,撰,KR3h0038,,,,
鄭玉道,宋,1,撰,KR3j0126,,,,琴堂諭俗編→子復(cbdb:33929)
釋僧祐,梁,1,撰,KR6r0137,,,,
釋性𣻢,明,1,編,KR4h0135,,,,
釋惠遠,宋,1,撰,KR2k0084,,,,
釋正勉,明,1,編,KR4h0135,,,,
釋玄奘,唐,1,譯,KR2k0137,,,,
釋神珙,唐,1,撰,KR1j0022,,,,
釋覺慈,宋,1,編,KR4d0095,,,,
釋豐干,唐,1,撰,KR4c0002,,,,
釋辯機,唐,1,撰,KR2k0137,,,,
釋齊己,唐,1,撰,KR4c0109,,,,
