docclass,title,author,geo,geo_latitude,geo_longitude,docclass,doc_category_l1,doc_category_l2,doc_category_l3,time_dynasty,date_not_before,date_not_after,metadata/title.hanzi,metadata/title.hanyupinyin,metadata/Name,metadata/Name.Hanyupinyin,metadata/Function,metadata/styles.hao,metadata/CourtesyName.zi,metadata/PosthumousTitle.shi,metadata/AuthorDates,metadata/TotalJuan,metadata/Genre1,metadata/Genre2,metadata/Genre3,metadata/Place,metadata/GISCode,,metadata/Notes
DZ0001,靈寶無量度人上品妙經,葛巢甫,句容,"31,9453","119,1717",,Lingbao Canon,Canonical Lingbao Scriptures,,,,,靈寶無量度人上品妙經,Lingbao wuliang duren shangpin miaojing,葛巢甫,Ge Chaofu,,,,,402,1,Lingbao Canon,Canonical Lingbao Scriptures,,句容,PL000000011098,Just j 1 of the 61 j work ,
DZ0001,靈寶無量度人上品妙經,嚴東,,,,注,Lingbao Canon,Canonical Lingbao Scriptures,,,,,靈寶無量度人上品妙經,Lingbao wuliang duren shangpin miaojing,嚴東,Yan Dong,注,,,,,1,Lingbao Canon,Canonical Lingbao Scriptures,,,,,
DZ0002,元始無量度人上品妙經直音,,,,,,Shenxiao Fa and Related Thunder Rites,,,,,,元始無量度人上品妙經直音,Yuanshi wuliang duren shangpin miaojing zhiyin,,,,,,,,1,Shenxiao Fa and Related Thunder Rites,,,,,,
DZ0003,元始説先天道德經註解,李家謀,,,,注,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,,,元始説先天道德經註解,Yuanshi shuo xiantian daode jing zhujie ,李家謀,Li Jiamou,注,,,,,5,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,,,
DZ0003,元始説先天道德經註解,進士,,,,注,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,,,元始説先天道德經註解,Yuanshi shuo xiantian daode jing zhujie ,進士,jinshi,注,,,,1166,5,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,,,
DZ0003,元始説先天道德經註解,張善淵,,,,編、序,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,,,元始説先天道德經註解,Yuanshi shuo xiantian daode jing zhujie ,張善淵,Zhang Shanyuan,編、序,癸復道人,,,fl.1280-1294,5,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,,,
DZ0004,無上內祕真藏經,,,,,,Lingbao,Scriptures,The Long Treatises,Early Tang,618,763,無上內祕真藏經,Wushang neibi zhenzang jing,,,,,,,,10,Lingbao,Scriptures,The Long Treatises,,,,
DZ0005,太上無極總真文昌大洞仙經,文昌帝君,,,,撰,The Wenchang Cult,,,,,,太上無極總真文昌大洞仙經,Taishang wuji zongzhen Wenchang dadong xianjing,文昌帝君,Wenchang dijun,撰,,,,,5,The Wenchang Cult,,,,,,
DZ0006,上清大洞真經,朱自英,,,,序,Shangqing,Scriptures,,,,,上清大洞真經,Shangqing dadong zhenjing,朱自英,Zhu Ziying,序,觀妙先生,隱芝,,976-1029,6,Shangqing,Scriptures,,,,,
DZ0006,上清大洞真經,蔣宗瑛,,,,編,Shangqing,Scriptures,,,,,上清大洞真經,Shangqing dadong zhenjing,蔣宗瑛,Jiang Zongying,編,,,,d.1281,6,Shangqing,Scriptures,,,,,
DZ0006,上清大洞真經,程公端,,,,刊記,Shangqing,Scriptures,,,,,上清大洞真經,Shangqing dadong zhenjing,程公端,Cheng Gongduan,刊記,,,,1272,6,Shangqing,Scriptures,,,,,
DZ0006,上清大洞真經,張宇初,,,,刊記,Shangqing,Scriptures,,,,,上清大洞真經,Shangqing dadong zhenjing,張宇初,Zhang Yuchu,刊記,耆山,子璿,,1361-1410,6,Shangqing,Scriptures,,,,,
DZ0007,大洞玉經,龔德同,,,,刊記,Shangqing,Scriptures,,Early Ming,1368,1644,大洞玉經,Dadong yujing,龔德同,Gong Detong ,刊記,,,,,2,Shangqing,Scriptures,,,,,
DZ0008,太上三十六部尊經,,,,,,Shenxiao Fa and Related Thunder Rites,,,Northern Song,960,1127,太上三十六部尊經,Taishang sanshiliu bu zunjing,,,,,,,,6,Shenxiao Fa and Related Thunder Rites,,,,,,
DZ0009,太上一乘海空智藏經,,,,,,Lingbao,Scriptures,The Long Treatises,Early Tang,618,763,太上一乘海空智藏經,Taishang yicheng haikong zhizang jing,,,,,,,,10,Lingbao,Scriptures,The Long Treatises,,,,
