KR_ID,text_title,files,file_size,character_count,person_name,DYNASTY,FUNCTION
KR1a0001,周易,69,156754,21584,,,
KR1a0030,周易古占法,3,44756,12740,程迥,宋,撰
KR1a0105,周易劄記,4,118471,34742,逯中立,明,撰
KR1a0111,兒易內儀以,25,299922,88469,倪元璐,明,撰
KR1a0124,周易象辭,28,1125753,344084,黃宗炎,清,撰
KR1a0141,周易劄記,3,74183,21955,楊名時,清,撰
KR1a0145,周易函書約存,53,2003742,599958,胡煦,清,撰
KR1a0146,易箋,9,474739,134483,陳法,清,撰
KR1a0147,學易初津,3,102738,30581,晏斯盛,清,撰
KR1a0149,易翼說,9,390120,108063,,,
KR1a0152,周易淺釋,6,342481,101691,潘思榘,清,撰
KR1a0155,周易述,24,831557,257400,惠棟,清,撰
KR1a0159,大易擇言,37,1014804,296824,程廷祚,清,撰
KR1a0160,周易辨畫,41,808225,246340,連斗山,清,撰
KR1a0161,周易圖書質疑,25,362107,98930,趙繼序,清,撰
KR1b0001,尚書,59,187979,28352,,,
KR1b0009,禹貢論,9,193994,56134,程大昌,宋,撰
KR1b0022,尚書要義,21,372532,108909,魏了翁,宋,撰
KR1b0053,禹貢錐指,21,1436921,398308,胡渭,清,撰
KR1c0001,毛詩,30,290929,41223,,,
KR1c0018,續呂氏家塾讀詩記,4,148910,44233,戴溪,宋,撰
KR1c0051,毛詩寫官記,5,85452,25014,毛奇齡,清,撰
KR1d0001,周禮,6,236630,49343,,,
KR1d0015,周禮傳,17,1176933,344279,王應電,明,撰
KR1d0018,欽定周官義疏,2,70562,17898,高宗弘曆,清,敕撰
KR1d0032,儀禮圖,19,683813,193118,楊復,宋,撰
KR1d0037,欽定儀禮義疏,51,2873470,794838,高宗弘曆,清,敕撰
KR1d0052,禮記,50,866063,98094,,,
KR1d0085,儀禮經傳通解,37,1817867,555858,楊復,宋,撰
KR1d0086,禮書綱目,91,3655893,1035286,江永,清,撰
KR1d0087,五禮通考,273,16066215,4577110,泰蕙田,清,撰
KR1d0088,書儀,11,182263,52198,司馬光,宋,撰
KR1d0089,家禮,7,145455,40804,朱熹,宋,撰
KR1d0090,泰泉鄉禮,8,147668,38976,黃佐,明,撰
KR1d0091,朱子禮纂,6,170615,48208,李光地,清,編
KR1d0092,辨定祭禮通俗譜,6,113691,31392,毛奇齡,清,撰
KR1e0001,春秋左傳,12,1671082,198192,,,
KR1e0002,春秋經傳集解,32,1357046,404348,,,
KR1e0003,春秋正義,37,2342033,711714,,,
KR1e0004,春秋左傳注疏,63,3692628,1069207,齊召南,清,撰
KR1e0006,春秋公羊傳注疏,30,1427606,410421,陳浩,清,撰
KR1e0007,春秋公羊經傳解詁,13,453108,133169,,,
KR1e0008,春秋穀梁傳,12,340931,41978,,,
KR1e0009,春秋穀梁傳,13,318494,91548,,,
KR1e0010,春秋穀梁傳注疏,22,780426,221447,陳浩,清,撰
KR1e0011,箴膏肓,3,11470,2938,鄭玄,漢,撰
KR1e0012,春秋釋例,17,522061,133404,杜預,晉,撰
KR1e0013,春秋集傳纂例,11,339821,91457,陸淳,唐,撰
KR1e0014,春秋集傳微旨,4,104253,30043,陸淳,唐,撰
KR1e0015,春秋集傳辨疑,11,156849,43787,陸淳,唐,撰
KR1e0016,春秋名號歸一圖,3,74262,19771,岳珂,宋,重編
KR1e0017,春秋年表,1,1661,334,闕名,,撰
KR1e0018,春秋尊王發微,14,209816,56789,孫復,宋,撰
KR1e0019,春秋皇綱論,6,63937,18205,王晳,宋,撰
KR1e0020,春秋通義,2,18741,5104,闕名,宋,撰
KR1e0021,春秋權衡,18,377848,110885,劉敞,宋,撰
KR1e0022,劉氏春秋傳,16,245802,71918,劉敞,宋,撰
