person_name,dynasty,norbert_id,note,sample_kr_id
世宗胤禎,清,16982,KR1f0012,KR1f0012
丘光庭,唐,16983,KR3j0029,KR3j0029
丘爾穀,明,16984,KR4e0115,KR4e0115
于文煕,明,16985,KR3j0102,KR3j0102
于石,宋,16986,KR4d0410,KR4d0410
仲幷,宋,16987,KR4d0200,KR4d0200
何休,漢,529,KR1e0006,KR1e0006
何大任,宋,16970,KR3e0031,KR3e0031
何犿,元,15521,KR3c0005,KR3c0005
何粲,唐,16988,KR5d0037,KR5d0037
何谿汶,宋,16989,KR4i0041,KR4i0041
何超,唐,16990,KR2a0015,KR2a0015
余仲荀,宋,16991,KR4d0023,KR4d0023
來保,清,16971,KR2c0011,KR2c0011
保巴,元,16992,KR1a0073,KR1a0073
俞松,宋,16993,KR2n0023,KR2n0023
倪守約,宋,15527,KR2k0085,KR2k0085
傳肱,宋,16994,KR3i0046,KR3i0046
元禛,唐,16995,KR4c0068,KR4c0068
劉允鵬,明,16996,KR3k0005,KR3k0005
劉卲,魏,16997,KR3j0011,KR3j0011
劉可書,清,16998,KR4f0017,KR4f0017
劉才卲,宋,16999,KR4d0157,KR4d0157
劉晝,北齊,715,KR3j0013,KR3j0013
劉有,元,17000,KR3h0038,KR3h0038
劉梗,明,17001,KR4d0256,KR4d0256
劉溫舒,宋,15547,KR3e0024,KR3e0024
劉純續,明,17002,KR3e0068,KR3e0068
包儀,清,17003,KR1a0135,KR1a0135
厲鄂,清,17004,KR2k0132,KR2k0132
句延慶,宋,17005,KR2i0014,KR2i0014
司農司,元,17006,KR3d0003,KR3d0003
吳之鯨,明,17007,KR2k0098,KR2k0098
吳平,漢,17008,KR2i0002,KR2i0002
吳聿,宋,17009,KR4i0026,KR4i0026
周子愚,明,17010,KR3f0010,KR3f0010
周沈珂,清,17011,KR4d0065,KR4d0065
周維鑣,清,17012,KR4e0130,KR4e0130
周羽翀,宋,17013,KR2i0013,KR2i0013
唐元竑,明,17014,KR4c0019,KR4c0019
唐玄度,唐,17015,KR1j0025,KR1j0025
唐積,宋,17016,KR3i0004,KR3i0004
喇沙里,清,17017,KR1h0053,KR1h0053
因亮,唐,17018,KR4c0028,KR4c0028
太宰純,日本,17019,KR1f0003,KR1f0003
姜垐,清,17020,KR4f0028,KR4f0028
孔晁,晉,6075,KR2d0001,KR2d0001
孔藏,漢,17021,KR3a0003,KR3a0003
孫強,唐,17022,KR1j0022,KR1j0022
宇文懋昭,宋,17023,KR2d0010,KR2d0010
宋俊,清,17024,KR2k0129,KR2k0129
宋公傳,明,17025,KR4h0100,KR4h0100
宋子安,宋,17026,KR3i0023,KR3i0023
宋挺佐,明,17027,KR4d0452,KR4d0452
宋詡,明,17028,KR3j0171,KR3j0171
宗懍,梁,3566,KR2k0105,KR2k0105
家誠之,宋,17029,KR4d0048,KR4d0048
尉繚,周,17030,KR3b0006,KR3b0006
屠文漪,清,17031,KR3f0056,KR3f0056
山井鼎,日本,17032,KR1g0020,KR1g0020
崔衢亭,清,17033,KR4f0004,KR4f0004
嵇含,晉,1562,KR2k0104,KR2k0104
廬祖皐,宋,17034,KR4j0045,KR4j0045
弘毓圻,清,17035,KR2m0033,KR2m0033
張內蘊,明,17036,KR2k0070,KR2k0070
張孝洋,宋,17037,KR4j0033,KR4j0033
張戴,宋,17038,KR3a0026,KR3a0026
張知甫,宋,17039,KR3l0065,KR3l0065
張靄生,清,17040,KR2k0076,KR2k0076
張齋賢,宋,17041,KR3l0025,KR3l0025
徐伯齡,明,17042,KR3j0152,KR3j0152
徐克范,清,17043,KR2a0005,KR2a0005
徐庭垣,清,17044,KR1e0106,KR1e0106
徐文炳,清,17045,KR4b0019,KR4b0019
徐總幹,宋,17046,KR1a0044,KR1a0044
成伯璵,唐,1990,KR1c0007,KR1c0007
戴原禮,明,16972,KR3e0062,KR3e0062
戴難,明,17047,KR4e0098,KR4e0098
文安禮,宋,17048,KR4c0050,KR4c0050
晁貫一,宋,17049,KR3i0011,KR3i0011
晏天章,宋,17050,KR3h0081,KR3h0081
曾儼,清,17051,KR4d0064,KR4d0064
朱橰,宋,17052,KR4d0171,KR4d0171
朱辨,宋,17053,KR3j0101,KR3j0101
李光暎,清,17054,KR2n0042,KR2n0042
李孝美,宋,17055,KR3i0010,KR3i0010
李沖昭,唐,15700,KR2k0083,KR2k0083
李蓘,明,16973,KR4h0113,KR4h0113
李衞,清,17056,KR2k0041,KR2k0041
杜公瞻,隋,13786,KR3k0002,KR3k0002
東軒居士,宋,17057,KR3e0035,KR3e0035
林堯叟,宋,17058,KR1e0092,KR1e0092
林子長,宋,17059,KR4h0056,KR4h0056
林師藏,宋,17060,KR4h0048,KR4h0048
林駧,宋,17061,KR3k0031,KR3k0031
柯尚遷,明,17062,KR1d0016,KR1d0016
柴復貞,明,17063,KR4h0068,KR4h0068
梁賓,清,17064,KR4b0015,KR4b0015
楊時偉,明,17065,KR2g0014,KR2g0014
楊道聲,清,17066,KR1a0134,KR1a0134
歐陽德隆,宋,17067,KR1j0062,KR1j0062
歐陽鉞,明,17068,KR4d0189,KR4d0189
殷敬慎,唐,17069,KR5c0125,KR5c0125
江遹,宋,15744,KR5c0121,KR5c0121
池本理,明,17070,KR3g0049,KR3g0049
沈名蓀,清,17071,KR2h0003,KR2h0003
沈斐,宋,17072,KR4d0072,KR4d0072
沙克什,元,17073,KR2k0063,KR2k0063
沙圖穆蘇,元,17074,KR3e0058,KR3e0058
洪咨虁,宋,17075,KR1e0051,KR1e0051
洪遂,宋,17076,KR4h0155,KR4h0155
滄州樵叟,宋,17077,KR2g0027,KR2g0027
潘昴霄,元,17078,KR4i0048,KR4i0048
潘永因,清,17079,KR3k0065,KR3k0065
熊孟秉,宋,17080,KR4d0396,KR4d0396
熊明來,元,17081,KR1g0013,KR1g0013
物觀,,17082,KR1g0020,KR1g0020
王元杰,元,17083,KR1e0063,KR1e0063
王原采,明,17084,KR4e0076,KR4e0076
王子接,清,17085,KR3e0095,KR3e0095
王宗稷,宋,16974,KR4d0076,KR4d0076
王庭曾,清,17086,KR4d0135,KR4d0135
王燧,明,17087,KR4e0089,KR4e0089
王禕,明,16969,KR2a0036,KR2a0036
王霆震,宋,17088,KR4h0058,KR4h0058
珞琭子,,17089,KR3g0038,KR3g0038
白挺,元,17090,KR3j0137,KR3j0137
盧辯,北周,111,KR1d0076,KR1d0076
祖行,宋,17091,KR4d0055,KR4d0055
程川,清,17092,KR1g0027,KR1g0027
程林,清,17093,KR3e0027,KR3e0027
程道生,明,17094,KR3g0048,KR3g0048
程長,明,17095,KR4e0075,KR4e0075
竇[自/豕],唐,17096,KR3h0007,KR3h0007
竇苹,宋,17097,KR3i0027,KR3i0027
章琬,元,17098,KR4d0587,KR4d0587
章祖程,元,17099,KR4d0395,KR4d0395
童宗說,宋,17100,KR4c0049,KR4c0049
納新,元,17101,KR2k0134,KR2k0134
羅𤣱,明,17102,KR4e0139,KR4e0139
翁葆光,宋,15810,KR5a0142,KR5a0142
翟圴廉,清,17103,KR1a0162,KR1a0162
耐得翁,宋,17104,KR2k0117,KR2k0117
耶律純,遼,17105,KR3g0039,KR3g0039
胡我琨,明,17106,KR2m0046,KR2m0046
胡爌,明,17107,KR3j0068,KR3j0068
胡知柔,宋,17108,KR2g0011,KR2g0011
胡鳴玉,清,17109,KR3j0078,KR3j0078
范望,晉,13594,KR3g0001,KR3g0001
范能濬,清,16975,KR4d0025,KR4d0025
荀悅,漢,8280,KR2b0003,KR2b0003
華汝德,明,17110,KR4e0118,KR4e0118
葉□,宋,17111,KR3j0057,KR3j0057
葉山,明,17112,KR1a0102,KR1a0102
葛萬里,清,17113,KR3k0064,KR3k0064
董更,宋,17114,KR3h0035,KR3h0035
董衝進,宋,17115,KR2a0027,KR2a0027
董鼎,元,16976,KR1b0029,KR1b0029
蒙古薩囊徹辰,清,17116,KR2e0022,KR2e0022
蒲積中,宋,17117,KR4h0035,KR4h0035
蔡夢弼,宋,17118,KR4i0040,KR4i0040
蔣正子,元,17119,KR3l0080,KR3l0080
蔣鐄,宋,17120,KR4d0018,KR4d0018
蕭㪺,元,17121,KR4d0490,KR4d0490
蕭綺,梁,6629,KR3l0098,KR3l0098
薛己,明,17122,KR3e0070,KR3e0070
薛旦,宋,17123,KR4d0264,KR4d0264
薛虞畿,明,17124,KR2d0015,KR2d0015
蘇携,宋,17125,KR4d0035,KR4d0035
虞堪,明,16977,KR4d0494,KR4d0494
衞博,宋,17126,KR4d0241,KR4d0241
衞宏,漢,17127,KR2m0020,KR2m0020
衞涇,宋,17128,KR4d0290,KR4d0290
衞湜,宋,17129,KR1d0057,KR1d0057
袁□,宋,17130,KR3l0056,KR3l0056
袁衮,明,17131,KR3a0095,KR3a0095
裴駰,南朝宋,6670,KR2a0001,KR2a0001
褚峻,清,17132,KR2n0046,KR2n0046
襲明之,宋,17133,KR2k0114,KR2k0114
西方子,,17134,KR3e0018,KR3e0018
解悅,清,17135,KR4e0083,KR4e0083
許重炎,清,17136,KR4f0036,KR4f0036
詩正,梁,17137,KR3h0062,KR3h0062
詹烜,元,17138,KR4d0584,KR4d0584
謝維新,宋,17139,KR3k0030,KR3k0030
譚善心,元,17140,KR4h0031,KR4h0031
賴文俊,宋,17141,KR3g0026,KR3g0026
趙仁舉,元,17142,KR4c0063,KR4c0063
趙宜中,明,17143,KR1j0088,KR1j0088
趙彥衞,宋,17144,KR3j0117,KR3j0117
趙時庾,宋,17145,KR3i0036,KR3i0036
郁逢慶,明,17146,KR3h0054,KR3h0054
郭守正,宋,17147,KR1j0062,KR1j0062
郭宗昌,明,17148,KR2n0034,KR2n0034
郭知達,宋,17149,KR4c0015,KR4c0015
郭稽中,宋,17150,KR3e0040,KR3e0040
郭載騋,清,17151,KR3g0031,KR3g0031
鄧伯羔,明,17152,KR3j0061,KR3j0061
鄧椿年,宋,17153,KR3k0018,KR3k0018
鄭枃,元,17154,KR3h0038,KR3h0038
鄭玉道,宋,17155,KR3j0126,KR3j0126
釋僧祐,梁,6749,KR6r0137,KR6r0137
釋性𣻢,明,17156,KR4h0135,KR4h0135
釋惠遠,宋,13060,KR2k0084,KR2k0084
釋正勉,明,17157,KR4h0135,KR4h0135
釋覺慈,宋,17158,KR4d0095,KR4d0095
釋齊己,唐,17159,KR4c0109,KR4c0109
錢公善,明,17160,KR4h0097,KR4h0097
錢子正,明,17161,KR4h0097,KR4h0097
錢子義,明,17162,KR4h0097,KR4h0097
錢德洪原,明,17163,KR4e0157,KR4e0157
錫喇布哈,元,17164,KR4d0497,KR4d0497
陰勁弦,元,17165,KR3k0039,KR3k0039
陰復春,宋,17166,KR3k0039,KR3k0039
陳倫炯,清,17167,KR2k0152,KR2k0152
陳宜甫,元,17168,KR4d0470,KR4d0470
陳朝,明,17169,KR4d0382,KR4d0382
陳槱,宋,17170,KR3j0168,KR3j0168
陳籲,元,17171,KR4d0516,KR4d0516
陳紹夫,宋,17172,KR4d0039,KR4d0039
陳芳生,清,17173,KR2m0047,KR2m0047
陳贄和,明,17174,KR4d0400,KR4d0400
陳起,宋,16978,KR4h0053,KR4h0053
陳顯微,宋,15913,KR5d0025,KR5d0025
陸大業,明,17175,KR4d0391,KR4d0391
陸子虛,宋,17176,KR4d0267,KR4d0267
陸廣微,唐,17177,KR2k0091,KR2k0091
陸廷燦,清,17178,KR3i0024,KR3i0024
陸曾禹,清,17179,KR2m0049,KR2m0049
陸翽,晉,6814,KR2i0004,KR2i0004
雷鈜,清,17180,KR3a0118,KR3a0118
韓祗和,宋,17181,KR3e0025,KR3e0025
韓道昭,金,17182,KR1j0064,KR1j0064
項夢昶,清,17183,KR4d0448,KR4d0448
項穆,明,17184,KR3h0050,KR3h0050
項霦,明,17185,KR1f0009,KR1f0009
顧名端,明,17186,KR4c0038,KR4c0038
馬令,宋,17187,KR2i0017,KR2i0017
馬后,,17188,KR3b0001,KR3b0001
馬隆述,晉,17189,KR3b0001,KR3b0001
馮琦原,明,17190,KR2c0007,KR2c0007
駱居安,明,17191,KR4e0061,KR4e0061
高保衡,宋,16979,KR3e0005,KR3e0005
高德基,元,17192,KR2k0123,KR2k0123
高晦叟,宋,17193,KR3l0050,KR3l0050
魏之琇,清,16980,KR3e0075,KR3e0075
魏仲舉,宋,16981,KR4c0045,KR4c0045
魏齊賢,宋,17194,KR4h0043,KR4h0043
鮑山,明,17195,KR3d0009,KR3d0009
鮑應鼇,明,17196,KR2m0030,KR2m0030
黃中松,清,17197,KR1c0061,KR1c0061
黃庶,宋,17198,KR4d0037,KR4d0037
黃彥平,宋,17199,KR4d0165,KR4d0165
黃石公,秦,13493,KR3b0007,KR3b0007
黎立武,宋,17200,KR1h0027,KR1h0027
黎諒,明,17201,KR4d0273,KR4d0273
