person_name,dynasty,wikidata_qid,note
高宗弘曆,清,Q129598,Qianlong; CBDB 愛新覺羅弘曆 lacks Wikidata concordance row
聖祖,清,Q17790,Kangxi temple name in SKQS imperial works
托克托,元,Q2655284,Yuan 脫脫; SKQS Mongolian transliteration spelling
元帝,梁,Q1149114,KR3k0001 古今同姓名錄
西洋利瑪竇,明,Q233340,KR3f0009 乾坤體義
公孫宏,漢,Q10892840,KR3b0001 握奇經
韓康伯,晉,Q10566058,KR1a0006 周易註
崔鴻,北魏,Q1852031,KR2i0005 十六國春秋
梅㲄成,清,Q11115066,KR3g0051 欽定協紀辨方書
西洋南懷仁,清,Q378277,KR2k0150 坤輿圖說
張邱建,,Q10540570,KR3f0039; Wikidata label 赵爽
徽宗,宋,Q7486,KR3e0027 聖濟總錄纂要
房玄齢,唐,Q736647,KR2a0015 晉書
趙君卿,漢,Q10540570,KR3f0001; same as 赵爽
逢行珪,唐,Q18905399,KR3j0001
鄭小同,魏,Q11643905,KR1g0002
李鼎祚,唐,Q11098418,KR1a0008
雍正,清,Q317839,KR3a0109
趙爾巽,民國,Q697535,KR2a0039; SKQS 趙爾巽 等
西洋穆尼閣,清,Q6149510,KR3f0024
西洋鄧玉函,明,Q1370440,KR3i0001
西洋陽瑪諾,明,Q11835,KR3f0012
荀況,周,Q216072,KR3a0002; pack label 荀子
戴進賢,清,Q95369,KR3f0020 欽定儀象考成
成無己,金,Q11074591,KR3e0008 傷寒論注釋
戴起宗,元,Q45367083,KR5a0142 悟真篇註疏
戴凱之,晉,Q10297009,KR3i0040 竹譜
張伯端,宋,Q197165,KR5a0142 悟真篇註疏
廋季才,北周,Q78123018,KR3g0017 靈臺祕苑
庾肩吾,梁,Q11064128,KR3h0002 書品
師曠,周,Q1500023,KR3i0045 禽經
孔鮒,漢,Q10944547,KR3a0003 孔叢子
孝元帝,梁,Q1149114,KR3j0012 金樓子
太祖,明,Q9957,KR4e0001 明太祖文集
墨翟,周,Q272411,KR3j0002 墨子
呂望,周,Q701488,KR3b0002 六韜
舒岳祥,宋,Q45412719,KR4d0384 閬風集
