source_file,title,KR_ID,EXTENT,SOURCE,author_index,person_name,DATES,DYNASTY,FUNCTION
skqs1.org,子夏易傳,KR1a0002,11 卷,"四庫全書 文淵閣版, V7.1, p1",1,卜商,-507 - -400,周,撰
skqs1.org,周易鄭康成註,KR1a0003,1 卷,"四庫全書 文淵閣版, V7.2, p129",1,鄭玄,127 - 200,漢,撰
skqs1.org,周易鄭康成註,KR1a0003,1 卷,"四庫全書 文淵閣版, V7.2, p129",2,王應麟,,宋,編
skqs1.org,增補鄭氏周易,KR1a0004,3 卷,"四庫全書 文淵閣版, V7.3, p147",1,鄭玄,127 - 200,漢,撰
skqs1.org,增補鄭氏周易,KR1a0004,3 卷,"四庫全書 文淵閣版, V7.3, p147",2,王應麟,,宋,輯
skqs1.org,增補鄭氏周易,KR1a0004,3 卷,"四庫全書 文淵閣版, V7.3, p147",3,惠棟,,清,考補
skqs1.org,陸氏易解,KR1a0005,1 卷,"四庫全書 文淵閣版, V7.4, p185",1,陸績,,吳,撰
skqs1.org,陸氏易解,KR1a0005,1 卷,"四庫全書 文淵閣版, V7.4, p185",2,姚士粦,,明,輯
skqs1.org,周易註,KR1a0006,10 卷,"四庫全書 文淵閣版, V7.5, p201",1,王弼,226 - 249,魏,註
skqs1.org,周易註,KR1a0006,10 卷,"四庫全書 文淵閣版, V7.5, p201",2,韓康伯,,晉,註
skqs1.org,周易註疏,KR1a0007,13 卷,"四庫全書 文淵閣版, V7.6, p283",1,王弼,226 - 249,魏,注
skqs1.org,周易註疏,KR1a0007,13 卷,"四庫全書 文淵閣版, V7.6, p283",2,韓康伯,,晉,注
skqs1.org,周易註疏,KR1a0007,13 卷,"四庫全書 文淵閣版, V7.6, p283",3,陸德明,,唐,音義
skqs1.org,周易註疏,KR1a0007,13 卷,"四庫全書 文淵閣版, V7.6, p283",4,孔穎達,,唐,疏
skqs1.org,周易註疏,KR1a0007,13 卷,"四庫全書 文淵閣版, V7.6, p283",5,王弼,226 - 249,魏,著
skqs1.org,周易註疏,KR1a0007,13 卷,"四庫全書 文淵閣版, V7.6, p283",6,邢璹,,唐,注
skqs1.org,周易註疏,KR1a0007,13 卷,"四庫全書 文淵閣版, V7.6, p283",7,朱良裘,,清,撰
skqs1.org,周易註疏,KR1a0007,13 卷,"四庫全書 文淵閣版, V7.6, p283",8,陳浩,,清,撰
skqs1.org,周易註疏,KR1a0007,13 卷,"四庫全書 文淵閣版, V7.6, p283",9,李清植,,清,撰
skqs1.org,周易集解,KR1a0008,17 卷,"四庫全書 文淵閣版, V7.7, p603",1,李鼎祚,,唐,撰
skqs1.org,周易口訣義,KR1a0009,6 卷,"四庫全書 文淵閣版, V8.1, p1",1,史徵,,唐,撰
skqs1.org,周易舉正,KR1a0010,3 卷,"四庫全書 文淵閣版, V8.2, p105",1,郭京,,唐,撰
skqs1.org,易數鈎隱圖,KR1a0011,3 卷,"四庫全書 文淵閣版, V8.3, p125",1,劉牧,1011 - 1064,宋,撰
skqs1.org,周易口義,KR1a0012,10 卷,"四庫全書 文淵閣版, V8.4, p169",1,胡瑗,993 - 1059,宋,撰
skqs1.org,周易口義,KR1a0012,10 卷,"四庫全書 文淵閣版, V8.4, p169",2,倪天隱,,宋,述
skqs1.org,溫公易說,KR1a0013,6 卷,"四庫全書 文淵閣版, V8.5, p565",1,司馬光,1019 - 1086,宋,撰
skqs1.org,橫渠易說,KR1a0014,3 卷,"四庫全書 文淵閣版, V8.6, p659",1,張載,1020 - 1077,宋,撰
skqs1.org,橫渠易說,KR1a0014,3 卷,"四庫全書 文淵閣版, V8.6, p659",2,呂大臨,,宋,撰
skqs1.org,東坡易傳,KR1a0015,9 卷,"四庫全書 文淵閣版, V9.1, p1",1,蘇軾,1036 - 1101,宋,撰
skqs1.org,伊川易傳,KR1a0016,4 卷,"四庫全書 文淵閣版, V9.2, p155",1,程頤,1033 - 1107,宋,撰
skqs1.org,易學辨惑,KR1a0017,1 卷,"四庫全書 文淵閣版, V9.3, p401",1,邵伯溫,1057 - 1134,宋,撰
skqs1.org,了齋易說,KR1a0018,1 卷,"四庫全書 文淵閣版, V9.4, p413",1,陳瓘,1062 - 1126,宋,撰
skqs1.org,吳園周易解,KR1a0019,9 卷,"四庫全書 文淵閣版, V9.5, p459",1,張根,1061 - 1120,宋,撰
