Variant,variant_cp,Variant_ABC,Variant_Block,Norm,norm_cp,Norm_ABC,Norm_Block,Sources
‧,(U+2027),Z,Other,·,(U+00B7),Z,Other,ctext
⺋,(U+2E8B),Z,CJK_Radicals_Supplement,㔾,(U+353E),Z,CJK_Extension_A,ctext
⺖,(U+2E96),Z,CJK_Radicals_Supplement,忄,(U+5FC4),Z,CJK_Unified_Ideographs,ctext
⺘,(U+2E98),Z,CJK_Radicals_Supplement,扌,(U+624C),Z,CJK_Unified_Ideographs,ctext
⺞,(U+2E9E),Z,CJK_Radicals_Supplement,歺,(U+6B7A),Z,CJK_Unified_Ideographs,ctext
⺡,(U+2EA1),Z,CJK_Radicals_Supplement,氵,(U+6C35),Z,CJK_Unified_Ideographs,ctext
⺣,(U+2EA3),Z,CJK_Radicals_Supplement,灬,(U+706C),Z,CJK_Unified_Ideographs,ctext
⺤,(U+2EA4),Z,CJK_Radicals_Supplement,爫,(U+722B),Z,CJK_Unified_Ideographs,ctext
⺨,(U+2EA8),Z,CJK_Radicals_Supplement,犭,(U+72AD),Z,CJK_Unified_Ideographs,ctext
⺩,(U+2EA9),Z,CJK_Radicals_Supplement,𤣩,(U+248E9),C,CJK_Extension_B,ctext
⺫,(U+2EAB),Z,CJK_Radicals_Supplement,罒,(U+7F52),Z,CJK_Unified_Ideographs,ctext
⺭,(U+2EAD),Z,CJK_Radicals_Supplement,礻,(U+793B),Z,CJK_Unified_Ideographs,ctext
⺮,(U+2EAE),Z,CJK_Radicals_Supplement,𥫗,(U+25AD7),Z,CJK_Extension_B,ctext
⺯,(U+2EAF),Z,CJK_Radicals_Supplement,糹,(U+7CF9),Z,CJK_Unified_Ideographs,ctext
⺰,(U+2EB0),Z,CJK_Radicals_Supplement,纟,(U+7E9F),Z,CJK_Unified_Ideographs,ctext
⺲,(U+2EB2),Z,CJK_Radicals_Supplement,罒,(U+7F52),Z,CJK_Unified_Ideographs,ctext
⺴,(U+2EB4),Z,CJK_Radicals_Supplement,⺳,(U+2EB3),Z,CJK_Radicals_Supplement,ctext
⺷,(U+2EB7),Z,CJK_Radicals_Supplement,𦍌,(U+2634C),Z,CJK_Extension_B,ctext
⺼,(U+2EBC),Z,CJK_Radicals_Supplement,月,(U+6708),A,CJK_Unified_Ideographs,NS;ctext
⺾,(U+2EBE),Z,CJK_Radicals_Supplement,艹,(U+8279),Z,CJK_Unified_Ideographs,ctext
⻂,(U+2EC2),Z,CJK_Radicals_Supplement,衤,(U+8864),Z,CJK_Unified_Ideographs,ctext
⻃,(U+2EC3),Z,CJK_Radicals_Supplement,覀,(U+8980),Z,CJK_Unified_Ideographs,ctext
⻈,(U+2EC8),Z,CJK_Radicals_Supplement,讠,(U+8BA0),Z,CJK_Unified_Ideographs,ctext
⻊,(U+2ECA),Z,CJK_Radicals_Supplement,𧾷,(U+27FB7),Z,CJK_Extension_B,ctext
⻌,(U+2ECC),Z,CJK_Radicals_Supplement,辶,(U+8FB6),Z,CJK_Unified_Ideographs,ctext
⻏,(U+2ECF),Z,CJK_Radicals_Supplement,阝,(U+961D),Z,CJK_Unified_Ideographs,ctext
⻑,(U+2ED1),Z,CJK_Radicals_Supplement,長,(U+9577),A,CJK_Unified_Ideographs,ctext
⻒,(U+2ED2),Z,CJK_Radicals_Supplement,镸,(U+9578),Z,CJK_Unified_Ideographs,ctext
⻔,(U+2ED4),Z,CJK_Radicals_Supplement,门,(U+95E8),Z,CJK_Unified_Ideographs,ctext
⻖,(U+2ED6),Z,CJK_Radicals_Supplement,阝,(U+961D),Z,CJK_Unified_Ideographs,ctext
⻗,(U+2ED7),Z,CJK_Radicals_Supplement,雨,(U+96E8),A,CJK_Unified_Ideographs,ctext
⼇,(U+2F07),Z,CJK_Radicals,亠,(U+4EA0),Z,CJK_Unified_Ideographs,ctext
⼌,(U+2F0C),Z,CJK_Radicals,冂,(U+5182),Z,CJK_Unified_Ideographs,ctext
⼍,(U+2F0D),Z,CJK_Radicals,冖,(U+5196),Z,CJK_Unified_Ideographs,ctext
⼎,(U+2F0E),Z,CJK_Radicals,冫,(U+51AB),Z,CJK_Unified_Ideographs,ctext
⼓,(U+2F13),Z,CJK_Radicals,勹,(U+52F9),Z,CJK_Unified_Ideographs,ctext
⼔,(U+2F14),Z,CJK_Radicals,匕,(U+5315),A,CJK_Unified_Ideographs,ctext
⼛,(U+2F1B),Z,CJK_Radicals,厶,(U+53B6),C,CJK_Unified_Ideographs,ctext
⼧,(U+2F27),Z,CJK_Radicals,宀,(U+5B80),C,CJK_Unified_Ideographs,ctext
⼮,(U+2F2E),Z,CJK_Radicals,巛,(U+5DDB),Z,CJK_Unified_Ideographs,ctext
⼹,(U+2F39),Z,CJK_Radicals,彐,(U+5F50),C,CJK_Unified_Ideographs,ctext
⼺,(U+2F3A),Z,CJK_Radicals,彡,(U+5F61),C,CJK_Unified_Ideographs,ctext
⽁,(U+2F41),Z,CJK_Radicals,攴,(U+6534),C,CJK_Unified_Ideographs,ctext
⽧,(U+2F67),Z,CJK_Radicals,疒,(U+7592),C,CJK_Unified_Ideographs,ctext
⾅,(U+2F85),Z,CJK_Radicals,臼,(U+81FC),A,CJK_Unified_Ideographs,ctext
