simp,simp_cp,trad,trad_cp,relation_type,simp_hits_norm,trad_hits_norm
諸,,諸,,,1162026,1162026
神,,神,,,263430,263430
福,,福,,,150088,150088
益,,益,,,134619,134619
類,,類,,,133041,133041
精,,精,,,131761,131761
都,,都,,,127144,127144
殺,,殺,,,95160,95160
裏,,裏,,,80947,80947
蓮,,蓮,,,64555,64555
寧,,寧,,,55094,55094
悔,,悔,,,54567,54567
連,,連,,,47365,47365
契,,契,,,43947,43947
飯,,飯,,,36711,36711
蘭,,蘭,,,34125,34125
祥,,祥,,,30620,30620
隆,,隆,,,22359,22359
甞,,嘗,,,16361,33546
葢,,蓋,,,15950,69374
朗,,朗,,,15791,15791
梅,,梅,,,15235,15235
羽,,羽,,,13006,13006
碑,,碑,,,12432,12432
練,,練,,,12256,12256
傅,,傳,,,11501,203008
墨,,墨,,,10616,10616
疎,,疏,,,10049,126141
䟽,,疏,,,9814,126141
館,,館,,,8743,8743
断,(U+65AD),斷,(U+65B7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,8098,311470
乗,,乘,,,7532,305969
廉,,廉,,,7186,7186
盖,(U+76D6),蓋,(U+84CB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,7182,69374
劒,,劍,,,7170,17369
叅,,參,,,6675,99850
靖,,靖,,,6637,6637
遼,,遼,,,6276,6276
佗,,他,,,5884,327970
徃,,往,,,5845,161388
廻,,迴,,,5052,67496
觧,,解,,,4424,451751
凉,(U+51C9),涼,(U+6DBC),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,4319,23047
𢙣,,惡,,,4303,248937
䇿,,策,,,3961,16254
畧,,略,,,3845,106245
湏,,須,,,3511,234208
体,(U+4F53),體,(U+9AD4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,3350,303923
踈,,疏,,,3088,126141
隂,,陰,,,2934,93001
陜,U+965C,陝,(U+965D),,2788,5430
冝,,宜,,,2731,65964
厨,,廚,,,2603,1945
収,,收,,,2574,47212
与,(U+4E0E),與,(U+8207),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,2553,616893
痴,(U+75F4),癡,(U+7661),opencc_s2t,2490,58785
熈,,熙,,,2484,12082
