review_id,suggested_action,action,match_status,match_tier,match_note,wiki_sourcePage,wiki_dynastySection,wiki_dyn_candidates,wiki_fief,fief_corrected,wiki_pn,pn_corrected,wiki_nt,wiki_person,wiki_personBare,wiki_startYear,wiki_endYear,wikidataId,wikiPersonUrl,norbert_person_id,norbert_nt_ind,norbert_can_name,norbert_dyn,norbert_fief,norbert_pn,norbert_nt,norbert_start_year,norbert_end_year,norbert_dyn_id,fill_notes,reviewer_notes
1,review,,wiki_only,,no Norbert match,江陽公,,,江陽,,,,公,王瑊,王瑊,,,Q45495174,https://zh.wikipedia.org/wiki/%E7%8E%8B%E7%91%8A,,,,,,,,,,,,
2,review,,wiki_only,,no Norbert match,江陽公,,,江陽,,,,公,王滋 (江陽公),王滋,,,Q12582969,https://zh.wikipedia.org/wiki/%E7%8E%8B%E6%BB%8B_(%E6%B1%9F%E9%99%BD%E5%85%AC),,,,,,,,,,,,
3,review,,wiki_only,,no Norbert match,樂浪侯,,,樂浪,,,,侯,王璥 (樂浪侯),王璥,,,Q16259836,https://zh.wikipedia.org/wiki/%E7%8E%8B%E7%92%A5_(%E6%A8%82%E6%B5%AA%E4%BE%AF),,,,,,,,,,,,
4,insert_nt,,person_only,E,"person in Norbert, no matching NT row",樂浪侯,,,樂浪,,,,侯,王忱 (高麗),王忱,,,,https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%BF%B1_(%E9%AB%98%E9%BA%97),4267,,王忱,,,,,,,,,
5,review,,wiki_only,,no Norbert match,樂浪侯,,,樂浪,,,,侯,王瑛 (樂浪侯),王瑛,,,Q16904075,https://zh.wikipedia.org/wiki/%E7%8E%8B%E7%91%9B_(%E6%A8%82%E6%B5%AA%E4%BE%AF),,,,,,,,,,,,
6,review,,ambiguous,D,2 Norbert candidates,平原王 (消歧義),東漢,東漢|漢,平原懷,,,,王,劉勝,劉勝,,,Q7280,https://zh.wikipedia.org/wiki/%E6%B1%89%E5%92%8C%E5%B8%9D,7156,1189,劉勝,漢,平原,懷,王,,,46,,
7,link,,matched,D,full NT match,平原王 (消歧義),東漢,東漢|漢,平原哀,,,,王,劉得,劉得,,,Q6852702,https://zh.wikipedia.org/wiki/%E5%8A%89%E4%BC%89,14467,2004,劉得,漢,平原,,王,,,46,,
8,link,,matched,D,full NT match,平原王 (消歧義),東漢,東漢|漢,平原,,,,王,劉翼,劉翼,,,Q10897903,https://zh.wikipedia.org/wiki/%E5%88%98%E7%BF%BC,12923,1998,劉翼,漢,北海,恭,王,,,46,,
9,review,,wiki_only,,no Norbert match,平原王 (消歧義),東漢,東漢|漢,平原,,,,王,劉顧,劉顧,,,Q48927547,https://zh.wikipedia.org/wiki/%E5%88%98%E7%A1%95,,,,,,,,,,,,
10,link,,matched,D,full NT match,平原王 (消歧義),曹魏,三國魏|魏,平原,,,,王,曹叡,曹叡,,,Q378470,https://zh.wikipedia.org/wiki/%E6%9B%B9%E5%8F%A1,263,1520,曹叡,魏,魏,明,帝,,,48,,
11,link,,matched,B,full NT match,平原王 (消歧義),晉,晉,平原,,,,王,司馬榦,司馬榦,,,Q10916632,https://zh.wikipedia.org/wiki/%E5%8F%B8%E9%A6%AC%E6%A6%A6,8786,860,司馬榦,晉,平原,,王,,,51,,
12,insert_nt,,person_only,E,"person in Norbert, no matching NT row",平原王 (消歧義),後趙,後趙,平原,,,,王,石斌,石斌,,,Q16903845,https://zh.wikipedia.org/wiki/%E7%9F%B3%E6%96%8C,14875,,石斌,,,,,,,,,
13,review,,wiki_only,,no Norbert match,平原王 (消歧義),前秦,前秦,平原,,,,王,苻鏘,苻鏘,,,Q17030832,https://zh.wikipedia.org/wiki/%E8%8B%BB%E9%8F%98,,,,,,,,,,,,
14,link,,matched,D,full NT match,平原王 (消歧義),夏,夏,平原,,,,王,赫連定,赫連定,,,Q1149413,https://zh.wikipedia.org/wiki/%E8%B5%AB%E9%80%A3%E5%AE%9A,303,2174,赫連定,夏,夏,後,主,,,71,,
15,insert_nt,,person_only,E,"person in Norbert, no matching NT row",平原王 (消歧義),北魏,北魏|拓跋魏,,,,,,陸麗,陸麗,,,Q4996469,https://zh.wikipedia.org/wiki/%E9%99%B8%E9%BA%97,2257,,陸麗,,,,,,,,,
16,insert_nt,,person_only,E,"person in Norbert, no matching NT row",平原王 (消歧義),北魏,北魏|拓跋魏,,,,,,陸定國,陸定國,,,Q55708146,https://zh.wikipedia.org/wiki/%E9%99%B8%E5%AE%9A%E5%9C%8B,14728,,陸定國,,,,,,,,,
17,insert_nt,,person_only,E,"person in Norbert, no matching NT row",平原王 (消歧義),北魏,北魏|拓跋魏,,,,,,陸叡,陸叡,,,Q18236230,https://zh.wikipedia.org/wiki/%E9%99%86%E5%8F%A1_(%E5%8C%97%E9%AD%8F),1741,,陸叡,,,,,,,,,
18,review,,wiki_only,,no Norbert match,平原王 (消歧義),北魏,北魏|拓跋魏,,,,,,元祉,元祉,,,Q30943602,https://zh.wikipedia.org/wiki/%E5%85%83%E7%A5%89,,,,,,,,,,,,
19,review,,wiki_only,,no Norbert match,平原王 (消歧義),東魏,東魏,,,,,,元子均,元子均,,,,https://zh.wikipedia.org/wiki/%E5%85%83%E5%AD%90%E5%9D%87_(%E4%B8%9C%E9%AD%8F),,,,,,,,,,,,
20,link,,matched,D,full NT match,平原王 (消歧義),北齊,北齊,,,,,,高隆之,高隆之,,,Q10566862,https://zh.wikipedia.org/wiki/%E9%AB%98%E9%9A%86%E4%B9%8B,7219,1526,高隆之,魏,,,王,,,,,
21,link,,matched,D,full NT match,平原王 (消歧義),北齊,北齊,,,,,,段韶,段韶,,,Q20041361,https://zh.wikipedia.org/wiki/%E6%AE%B5%E9%9F%B6,2560,1746,段韶,齊,平原,,王,,,94,,
22,review,,wiki_only,,no Norbert match,平原王 (消歧義),北齊,北齊,,,,,,段懿,段懿,,,Q30942797,https://zh.wikipedia.org/wiki/%E6%AE%B5%E6%87%BF,,,,,,,,,,,,
23,review,,wiki_only,,no Norbert match,平原王 (消歧義),北齊,北齊,,,,,,段寶鼎,段寶鼎,,,Q30942797,https://zh.wikipedia.org/wiki/%E6%AE%B5%E6%87%BF,,,,,,,,,,,,
24,review,,wiki_only,,no Norbert match,平原王 (消歧義),高句麗,高句麗,,,,,,高陽成,高陽成,,,Q498904,https://zh.wikipedia.org/wiki/%E5%B9%B3%E5%8E%9F%E7%8E%8B,,,,,,,,,,,,
25,insert_nt,,person_only,E,"person in Norbert, no matching NT row",平原王 (消歧義),隋朝,隋,,,,,,楊裕,楊裕,,,,https://zh.wikipedia.org/wiki/%E6%9D%A8%E8%A3%95,13356,,楊裕,,,,,,,,,
26,review,,wiki_only,,no Norbert match,平原王 (消歧義),唐朝,唐,,,,,,李白駒,李白駒,,,,https://zh.wikipedia.org/wiki/%E6%9D%8E%E7%99%BD%E9%A9%B9,,,,,,,,,,,,
27,review,,wiki_only,,no Norbert match,平原王 (消歧義),唐朝,唐,,,,,,李伸,李伸,,,Q15886049,https://zh.wikipedia.org/wiki/%E6%9D%8E%E4%BC%B8,,,,,,,,,,,,
28,insert_nt,,person_only,E,"person in Norbert, no matching NT row",平原王 (消歧義),唐朝,唐,,,,,,柏良器,柏良器,,,Q10349252,https://zh.wikipedia.org/wiki/%E6%9F%8F%E8%89%AF%E5%99%A8,11346,,柏良器,,,,,,,,,
29,review,,wiki_only,,no Norbert match,平原王 (消歧義),唐朝,唐,,,,,,李寧,李寧,,,Q11073402,https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%AE%81_(%E5%94%90%E6%9C%9D),,,,,,,,,,,,
